col.names;names_nice;direction
ADN_MHCI;;
ADN_MHCII;;
Amplitude_MHCII_rank;amplitude MHC II (rank);<
Amplitude_MHCI_affinity;amplitude MHC I;<
Amplitude_MHCI_affinity_9mer;amplitude MHC I (9mer);<
Best_affinity_MHCII_score;MHC II binding affinity ;>
Best_affinity_MHCI_9mer_anchor_mutated;;>
Best_affinity_MHCI_9mer_score;MHC I binding affinity (9mer);>
Best_affinity_MHCI_score;MHC I binding affinity;>
Best_rank_MHCII_score;MHC II binding rank;>
Best_rank_MHCI_9mer_score;MHC I binding rank (9mer);>
Best_rank_MHCI_score;MHC I binding rank;>
CDN_MHCI;;
CDN_MHCII;;
DAI_MHCI_affinity;DAI;<
Dissimilarity_MHCI;dissimilarity MHCI;<
Dissimilarity_MHCII;dissimilarity MHCII;<
Expression_mutated_transcript;transcript expression mutation;<
Generator_rate_ADN_MHCI;generator rate MHC I (ADN);<
Generator_rate_ADN_MHCII;generator rate MHC II (ADN);<
Generator_rate_CDN_MHCI;generator rate MHC I (CDN);<
Generator_rate_CDN_MHCII;generator rate MHC II (CDN);<
Generator_rate_MHCI;generator rate MHC I;<
Generator_rate_MHCII;generator rate MHC II;<
IEDB_Immunogenicity_MHCI;IEDB immunogenicity MHCI;<
IEDB_Immunogenicity_MHCII;IEDB immunogenicity MHCII;<
Improved_Binder_MHCI;;
MixMHC2pred_best_rank;MixMHC2pred;>
MixMHCpred_best_rank;MixMHCpred rank;>
MixMHCpred_best_score;MixMHCpred score;<
Neoag_immunogenicity;Neoag immunogenicity;<
PHBR_I;PHBR-I;>
PHBR_II;PHBR-II;>
Priority_score;Priority score;<
Pathogensimiliarity_MHCI_9mer;pathogensimilarity MHCI ;<
Pathogensimiliarity_MHCII    ;pathogensimilarity MHCII;<
Recognition_Potential_MHCI_9mer;recognition potential;<
Selfsimilarity_MHCI_conserved_binder;self-similarity cb MHCI;>
Selfsimilarity_MHCI;self-similarity MHC I;>
Selfsimilarity_MHCII;self-similarity MHCII;>
Tcell_predictor_score;Tcell predictor;<
rnaExpression;transcript expression;<
vaxrank_binding_score;vaxrank (binding score);<
vaxrank_total_score;vaxrank (total score);<
iCaM_target;icam target;
PRIME_best_score;PRIME score;<
PRIME_best_rank;PRIME rank;>
Hex_alignment_score_MHCI;hex MHCI;<
Hex_alignment_score_MHCII;hex MHCII;<
rnaVariantAlleleFrequency;variant allele frequency (RNA);<
