	auc	binaryaccuracy	precision	recall	seed
0	0.5	0.90909094	0.0	0.0	42
1	0.5	0.36363637	0.0	0.0	42
2	0.5	0.6363636	0.0	0.0	42
3	0.4821429	0.54545456	0.33333334	0.25	42
4	0.5	0.45454547	0.0	0.0	42
5	0.45	0.45454547	0.5	0.5	42
6	0.5	0.90909094	0.0	0.0	42
7	0.42857143	0.54545456	0.0	0.0	42
8	0.3	0.3	0.0	0.0	42
9	0.5	0.7	0.0	0.0	42
10	0.5	0.6363636	0.0	0.0	135
11	0.375	0.27272728	0.3	0.75	135
12	0.45833328	0.36363637	0.6666667	0.25	135
13	0.33333334	0.18181819	0.2	0.6666667	135
14	0.5	0.6363636	0.0	0.0	135
15	0.5	0.6363636	0.0	0.0	135
16	0.3333333	0.54545456	0.0	0.0	135
17	0.5	0.72727275	0.0	0.0	135
18	0.5	0.5	0.0	0.0	135
19	0.5	0.6	0.0	0.0	135
20	0.3	0.27272728	0.33333334	0.6	23
21	0.3392857	0.36363637	0.2	0.25	23
22	0.5	0.90909094	0.0	0.0	23
23	0.5	0.6363636	0.0	0.0	23
24	0.4	0.36363637	0.4	0.8	23
25	0.41666666	0.45454547	0.5	0.8333333	23
26	0.5	0.54545456	0.0	0.0	23
27	0.5	0.6363636	0.0	0.0	23
28	0.35714287	0.5	0.0	0.0	23
29	0.45833328	0.5	0.33333334	0.25	23
30	0.35000002	0.36363637	0.25	0.2	7
31	0.5	0.09090909	0.09090909	1.0	7
32	0.5	0.36363637	0.0	0.0	7
33	0.5	0.45454547	0.0	0.0	7
34	0.5	0.6363636	0.0	0.0	7
35	0.5	0.6363636	0.0	0.0	7
36	0.5	0.72727275	0.0	0.0	7
37	0.38333333	0.36363637	0.33333334	0.16666667	7
38	0.5	0.6	0.0	0.0	7
39	0.5	0.1	0.1	1.0	7
40	0.33333334	0.18181819	0.2	0.6666667	49
41	0.28571427	0.36363637	0.0	0.0	49
42	0.44642857	0.36363637	0.33333334	0.75	49
43	0.5	0.72727275	0.0	0.0	49
44	0.5	0.72727275	0.0	0.0	49
45	0.5833333	0.54545456	1.0	0.16666667	49
46	0.33333334	0.36363637	0.44444445	0.6666667	49
47	0.5	0.8181818	0.0	0.0	49
48	0.5	0.5	0.5	0.2	49
49	0.5	0.5	0.5	1.0	49
50	0.5	0.45454547	0.0	0.0	1991
51	0.5	0.6363636	0.0	0.0	1991
52	0.25	0.36363637	0.0	0.0	1991
53	0.5	0.36363637	0.36363637	1.0	1991
54	0.5	0.6363636	0.0	0.0	1991
55	0.5	0.45454547	0.0	0.0	1991
56	0.44642857	0.36363637	0.33333334	0.75	1991
57	0.5	0.54545456	0.0	0.0	1991
58	0.4375	0.7	0.0	0.0	1991
59	0.16666667	0.1	0.125	0.33333334	1991
60	0.44642857	0.36363637	0.33333334	0.75	1970
61	0.5	0.6363636	0.0	0.0	1970
62	0.375	0.27272728	0.3	0.75	1970
63	0.5	0.6363636	0.0	0.0	1970
64	0.5	0.54545456	0.0	0.0	1970
65	0.33333334	0.18181819	0.2	0.6666667	1970
66	0.5	0.6363636	0.0	0.0	1970
67	0.5	0.6363636	0.0	0.0	1970
68	0.5	0.4	0.0	0.0	1970
69	0.35714287	0.5	0.0	0.0	1970
70	0.5	0.54545456	0.0	0.0	30
71	0.5333333	0.54545456	0.5	0.4	30
72	0.5	0.6363636	0.0	0.0	30
73	0.14285713	0.18181819	0.0	0.0	30
74	0.5	0.6363636	0.0	0.0	30
75	0.5	0.72727275	0.0	0.0	30
76	0.5	0.36363637	0.36363637	1.0	30
77	0.44642857	0.36363637	0.33333334	0.75	30
78	0.5	0.7	0.0	0.0	30
79	0.2	0.2	0.2	0.2	30
80	0.375	0.27272728	0.3	0.75	108
81	0.5	0.6363636	0.0	0.0	108
82	0.5	0.45454547	0.0	0.0	108
83	0.5	0.54545456	0.0	0.0	108
84	0.25	0.45454547	0.0	0.0	108
85	0.43333334	0.45454547	0.33333334	0.2	108
86	0.5	0.6363636	0.0	0.0	108
87	0.5	0.45454547	0.0	0.0	108
88	0.4375	0.7	0.0	0.0	108
89	0.41666666	0.5	0.0	0.0	108
90	0.48333335	0.45454547	0.44444445	0.8	5
91	0.5	0.54545456	0.0	0.0	5
92	0.51666665	0.54545456	0.5	0.2	5
93	0.5416667	0.6363636	0.33333334	0.33333334	5
94	0.3888889	0.6363636	0.0	0.0	5
95	0.5	0.6363636	0.0	0.0	5
96	0.5	0.45454547	0.0	0.0	5
97	0.3888889	0.6363636	0.0	0.0	5
98	0.5	0.6	0.0	0.0	5
99	0.5	0.5	0.0	0.0	5
