entity	class	sigma2	c	auc	binaryaccuracy	precision	recall	auc_iqr	binaryaccuracy_iqr	precision_iqr	recall_iqr	mut_path	entity_path	path_file
MEL+RCC	SNV	25000	0.1	0.625	0.6666666865348816	0.5	0.5	0.1924106776714325	0.1666666865348816	0.3333333432674408	0.3333333432674408	SNV	miles_all_wo_SD	data_for_publication/MILES_results/SNV/miles_all_wo_SD/miles_25000_0.1.tsv
MEL+RCC	Fusion gene	1000	0.3	0.6267857253551483	0.6666666865348816	0.6333333551883698	0.4000000059604645	0.22509916126728058	0.1666666865348816	0.6666666567325592	0.3214285969734192	fusion_gene	miles_all_wo_SD	data_for_publication/MILES_results/fusion_gene/miles_all_wo_SD/miles_1000_0.3.tsv
MEL+RCC	INDEL	5000	0.2	0.5357142686843872	0.5454545617103577	0.4000000059604645	0.5	0.1785713955760002	0.1287878453731537	0.25	0.4166666865348816	INDEL	miles_all_wo_SD	data_for_publication/MILES_results/INDEL/miles_all_wo_SD/miles_5000_0.2.tsv
MEL+RCC	combined	1000000	0.1	0.5833333134651184	0.5384615659713745	0.41428571939468384	0.6666666865348816	0.18065473437309265	0.15384617447853088	0.20357141643762589	0.30000001192092896	combined	miles_all_wo_SD	data_for_publication/MILES_results/combined/miles_all_wo_SD/miles_1000000_0.1.tsv
MEL	SNV	100	0.2	0.5916666984558105	0.7142857313156128	0.5	0.3333333432674408	0.25	0.2857142686843872	1	0.6666666865348816	SNV	miles_mel_wo_SD	data_for_publication/MILES_results/SNV/miles_mel_wo_SD/miles_100_0.2.tsv
MEL	Fusion gene	1000	0.3	0.5416666865348816	0.5714285969734192	0.5	0.3333333432674408	0.2562500312924385	0.2857142984867096	0.6000000238418579	0.5	fusion_gene	miles_mel_wo_SD	data_for_publication/MILES_results/fusion_gene/miles_mel_wo_SD/miles_1000_0.3.tsv
MEL	INDEL	500000	0.8	0.625	0.5714285969734192	0.5	0.5	0.3375000059604645	0.2857142984867096	0.4166666865348816	0.6666666567325592	INDEL	miles_mel_wo_SD	data_for_publication/MILES_results/INDEL/miles_mel_wo_SD/miles_500000_0.8.tsv
MEL	combined	10000000	0.2	0.6500000059604645	0.625	0.5	0.75	0.22499997913837433	0.2142857313156128	0.2666666805744171	0.5	combined	miles_mel_wo_SD	data_for_publication/MILES_results/combined/miles_mel_wo_SD/miles_10000000_0.2.tsv
RCC	SNV	500000	0.1	0.5833333432674408	0.6000000238418579	0.5	0.75	0.3437500074505806	0.19999998807907104	0.46666668355464935	0.5	SNV	miles_rcc_wo_SD	data_for_publication/MILES_results/SNV/miles_rcc_wo_SD/miles_500000_0.1.tsv
RCC	Fusion gene	10000000	0.2	0.75	0.6000000238418579	0.5	1	0.3333333134651184	0.19999998807907104	0.3333333432674408	0.5	fusion_gene	miles_rcc_wo_SD	data_for_publication/MILES_results/fusion_gene/miles_rcc_wo_SD/miles_10000000_0.2.tsv
RCC	INDEL	500	0.3	0.5	0.675000011920929	0	0	0.0208333358168602	0.19999998807907104	0.5	1	INDEL	miles_rcc_wo_SD	data_for_publication/MILES_results/INDEL/miles_rcc_wo_SD/miles_500_0.3.tsv
RCC	combined	50000	0.7	0.6666666269302368	0.675000011920929	0.5	0.5	0.4166666716337204	0.19999998807907104	0.6874999925494194	0.75	combined	miles_rcc_wo_SD	data_for_publication/MILES_results/combined/miles_rcc_wo_SD/miles_50000_0.7.tsv
