	auc	binaryaccuracy	precision	recall	seed
0	0.25	0.3846154	0.0	0.0	42
1	0.4722222	0.46153846	0.2857143	0.5	42
2	0.7222222	0.61538464	1.0	0.44444445	42
3	0.4090909	0.6923077	0.0	0.0	42
4	0.6666667	0.6666667	0.75	0.5	42
5	0.625	0.75	1.0	0.25	42
6	0.3333333	0.5	0.0	0.0	42
7	0.5625	0.5833333	0.4	0.5	42
8	0.3125	0.41666666	0.0	0.0	42
9	0.48571426	0.5	0.4	0.4	42
10	0.6833334	0.6923077	0.4	0.6666667	135
11	0.6	0.6923077	1.0	0.2	135
12	0.52380955	0.53846157	0.5	0.33333334	135
13	0.5125	0.53846157	0.4	0.4	135
14	0.6666667	0.6666667	0.75	0.5	135
15	0.625	0.6666667	0.5	0.5	135
16	0.5	0.5833333	0.33333334	0.25	135
17	0.35	0.5833333	0.0	0.0	135
18	0.5	0.8333333	0.0	0.0	135
19	0.4714286	0.41666666	0.5	0.14285715	135
20	0.71428573	0.6923077	1.0	0.42857143	23
21	0.4772727	0.46153846	0.14285715	0.5	23
22	0.4	0.61538464	0.0	0.0	23
23	0.20833334	0.3846154	0.0	0.0	23
24	0.3888889	0.5833333	0.0	0.0	23
25	0.4571429	0.5	0.33333334	0.2	23
26	0.3714286	0.33333334	0.33333334	0.14285715	23
27	0.375	0.5	0.0	0.0	23
28	0.64285713	0.5833333	1.0	0.2857143	23
29	0.5285715	0.5833333	0.5	0.2	23
30	0.54761904	0.53846157	0.6	0.42857143	7
31	0.5694445	0.6923077	0.5	0.25	7
32	0.5416667	0.46153846	0.75	0.33333334	7
33	0.5	0.6923077	0.0	0.0	7
34	0.5	0.75	0.0	0.0	7
35	0.3888889	0.5833333	0.0	0.0	7
36	0.5	0.5833333	0.33333334	0.25	7
37	0.55714285	0.5833333	0.5	0.4	7
38	0.44444448	0.5	0.2	0.33333334	7
39	0.59999996	0.6666667	0.25	0.5	7
40	0.45833328	0.53846157	0.25	0.25	49
41	0.6136364	0.6923077	0.25	0.5	49
42	0.5138889	0.61538464	0.33333334	0.25	49
43	0.3690476	0.3846154	0.25	0.16666667	49
44	0.3125	0.41666666	0.0	0.0	49
45	0.38571426	0.41666666	0.25	0.2	49
46	0.59999996	0.6666667	0.25	0.5	49
47	0.62857145	0.6666667	0.6666667	0.4	49
48	0.5833334	0.5833333	0.6666667	0.33333334	49
49	0.49999997	0.5	0.5	0.16666667	49
50	0.35000002	0.3846154	0.2	0.2	1991
51	0.45238093	0.46153846	0.4	0.33333334	1991
52	0.45833328	0.53846157	0.25	0.25	1991
53	0.5138889	0.61538464	0.33333334	0.25	1991
54	0.6875	0.6666667	0.5	0.75	1991
55	0.5285715	0.5833333	0.5	0.2	1991
56	0.5555556	0.6666667	0.33333334	0.33333334	1991
57	0.5857143	0.5833333	0.5	0.6	1991
58	0.5	0.5833333	0.33333334	0.25	1991
59	0.5	0.6666667	0.0	0.0	1991
60	0.4375	0.53846157	0.0	0.0	1970
61	0.55	0.53846157	0.42857143	0.6	1970
62	0.775	0.7692308	0.6666667	0.8	1970
63	0.44047618	0.46153846	0.33333334	0.16666667	1970
64	0.3181818	0.5833333	0.0	0.0	1970
65	0.45454544	0.8333333	0.0	0.0	1970
66	0.375	0.33333334	0.5	0.25	1970
67	0.5625	0.6666667	0.5	0.25	1970
68	0.6111111	0.75	0.5	0.33333334	1970
69	0.4166667	0.41666666	0.4	0.33333334	1970
70	0.6833334	0.6923077	0.4	0.6666667	30
71	0.7023809	0.6923077	0.8	0.5714286	30
72	0.5375	0.61538464	0.5	0.2	30
73	0.5681818	0.61538464	0.2	0.5	30
74	0.65000004	0.75	0.33333334	0.5	30
75	0.4	0.6666667	0.0	0.0	30
76	0.55714285	0.5833333	0.5	0.4	30
77	0.6571429	0.6666667	0.6	0.6	30
78	0.41666666	0.41666666	0.33333334	0.16666667	30
79	0.5	0.41666666	0.0	0.0	30
80	0.73333335	0.7692308	0.5	0.6666667	108
81	0.52380955	0.53846157	0.5	0.33333334	108
82	0.575	0.61538464	0.5	0.4	108
83	0.6125	0.61538464	0.5	0.6	108
84	0.3181818	0.5833333	0.0	0.0	108
85	0.4714286	0.41666666	0.5	0.14285715	108
86	0.62857145	0.6666667	0.6666667	0.4	108
87	0.42857143	0.5	0.0	0.0	108
88	0.35	0.5833333	0.0	0.0	108
89	0.41428572	0.41666666	0.33333334	0.4	108
90	0.60714287	0.61538464	0.6	0.5	5
91	0.6125	0.61538464	0.5	0.6	5
92	0.5694445	0.6923077	0.5	0.25	5
93	0.4666667	0.53846157	0.2	0.33333334	5
94	0.6	0.6666667	1.0	0.2	5
95	0.5625	0.6666667	0.5	0.25	5
96	0.35714287	0.41666666	0.0	0.0	5
97	0.4375	0.5	0.25	0.25	5
98	0.3888889	0.5833333	0.0	0.0	5
99	0.5142857	0.5	0.42857143	0.6	5
