	auc	binaryaccuracy	precision	recall	seed
0	0.3181818	0.4117647	0.0	0.0	42
1	0.5333333	0.5882353	0.33333334	0.4	42
2	0.2142857	0.3529412	0.0	0.0	42
3	0.84615386	0.7647059	0.5	1.0	42
4	0.55833334	0.7058824	0.5	0.2	42
5	0.52380955	0.64705884	0.2	0.33333334	42
6	0.4916667	0.5294118	0.2857143	0.4	42
7	0.45833328	0.5625	0.2	0.25	42
8	0.34615386	0.5625	0.0	0.0	42
9	0.5333333	0.625	0.5	0.16666667	42
10	0.45833334	0.64705884	0.0	0.0	135
11	0.35714287	0.5882353	0.0	0.0	135
12	0.34523812	0.3529412	0.1	0.33333334	135
13	0.4	0.7058824	0.0	0.0	135
14	0.36428574	0.3529412	0.3	0.42857143	135
15	0.6515152	0.64705884	0.5	0.6666667	135
16	0.34615386	0.5294118	0.0	0.0	135
17	0.6090909	0.6875	0.5	0.4	135
18	0.34615386	0.5625	0.0	0.0	135
19	0.59999996	0.625	0.5	0.5	135
20	0.5833334	0.5294118	0.22222222	0.6666667	23
21	0.49285713	0.5294118	0.4	0.2857143	23
22	0.5096154	0.64705884	0.25	0.25	23
23	0.59615386	0.64705884	0.33333334	0.5	23
24	0.42307693	0.64705884	0.0	0.0	23
25	0.35606056	0.4117647	0.16666667	0.16666667	23
26	0.52380955	0.64705884	0.2	0.33333334	23
27	0.80909085	0.8125	0.6666667	0.8	23
28	0.45	0.5625	0.0	0.0	23
29	0.39285713	0.6875	0.0	0.0	23
30	0.4848485	0.5294118	0.33333334	0.33333334	7
31	0.45833334	0.64705884	0.0	0.0	7
32	0.68333334	0.8235294	0.33333334	0.5	7
33	0.5757576	0.64705884	0.5	0.33333334	7
34	0.34615386	0.5294118	0.0	0.0	7
35	0.52380955	0.64705884	0.2	0.33333334	7
36	0.35714287	0.5882353	0.0	0.0	7
37	0.41818184	0.5	0.2	0.2	7
38	0.6545454	0.75	0.6666667	0.4	7
39	0.41818184	0.5	0.2	0.2	7
40	0.5208333	0.5294118	0.5	0.375	49
41	0.39285713	0.64705884	0.0	0.0	49
42	0.42307693	0.64705884	0.0	0.0	49
43	0.7115385	0.8235294	0.6666667	0.5	49
44	0.575	0.64705884	0.4	0.4	49
45	0.49242425	0.5882353	0.33333334	0.16666667	49
46	0.5757576	0.64705884	0.5	0.33333334	49
47	0.39285713	0.6875	0.0	0.0	49
48	0.3846154	0.625	0.0	0.0	49
49	0.3076923	0.5	0.0	0.0	49
50	0.6583333	0.7647059	0.6666667	0.4	1991
51	0.49285713	0.5294118	0.4	0.2857143	1991
52	0.5595238	0.7058824	0.25	0.33333334	1991
53	0.34615386	0.5294118	0.0	0.0	1991
54	0.4326923	0.5294118	0.16666667	0.25	1991
55	0.5595238	0.7058824	0.25	0.33333334	1991
56	0.4848485	0.5294118	0.33333334	0.33333334	1991
57	0.375	0.5625	0.0	0.0	1991
58	0.3333333	0.625	0.0	0.0	1991
59	0.4047619	0.4375	0.25	0.14285715	1991
60	0.54285717	0.5882353	0.5	0.2857143	1970
61	0.39166668	0.47058824	0.16666667	0.2	1970
62	0.5096154	0.64705884	0.25	0.25	1970
63	0.5916667	0.5882353	0.375	0.6	1970
64	0.47500002	0.5882353	0.25	0.2	1970
65	0.63461536	0.7058824	0.4	0.5	1970
66	0.5757576	0.64705884	0.5	0.33333334	1970
67	0.23076922	0.375	0.0	0.0	1970
68	0.51282054	0.625	0.2	0.33333334	1970
69	0.28571427	0.5	0.0	0.0	1970
70	0.7261905	0.7647059	0.4	0.6666667	30
71	0.35714287	0.5882353	0.0	0.0	30
72	0.40151513	0.47058824	0.2	0.16666667	30
73	0.5476191	0.47058824	0.2	0.6666667	30
74	0.51666665	0.64705884	0.33333334	0.2	30
75	0.69047624	0.7058824	0.33333334	0.6666667	30
76	0.0	0.64705884	0.0	0.0	30
77	0.4047619	0.4375	0.25	0.14285715	30
78	0.6031746	0.625	0.6	0.42857143	30
79	0.3888889	0.4375	0.0	0.0	30
80	0.47115386	0.5882353	0.2	0.25	108
81	0.35714287	0.5882353	0.0	0.0	108
82	0.7583333	0.8235294	0.75	0.6	108
83	0.39166668	0.47058824	0.16666667	0.2	108
84	0.7596154	0.7647059	0.5	0.75	108
85	0.3	0.5294118	0.0	0.0	108
86	0.5069444	0.5294118	0.5	0.125	108
87	0.5897436	0.75	0.33333334	0.33333334	108
88	0.57272726	0.5625	0.375	0.6	108
89	0.4636364	0.5625	0.25	0.2	108
90	0.4916667	0.5294118	0.2857143	0.4	5
91	0.32142857	0.5294118	0.0	0.0	5
92	0.7261905	0.7647059	0.4	0.6666667	5
93	0.43333334	0.5294118	0.2	0.2	5
94	0.5833333	0.7058824	1.0	0.16666667	5
95	0.44696972	0.5294118	0.25	0.16666667	5
96	0.6166667	0.7058824	0.5	0.4	5
97	0.33333334	0.375	0.125	0.25	5
98	0.5	0.625	0.0	0.0	5
99	0.3	0.5625	0.0	0.0	5
