	auc	binaryaccuracy	precision	recall	seed
0	0.35606056	0.4117647	0.16666667	0.16666667	42
1	0.45	0.47058824	0.25	0.4	42
2	0.4166667	0.47058824	0.125	0.33333334	42
3	0.5480769	0.7058824	0.33333334	0.25	42
4	0.43333334	0.5294118	0.2	0.2	42
5	0.7619048	0.8235294	0.5	0.6666667	42
6	0.6333333	0.64705884	0.42857143	0.6	42
7	0.5416666	0.6875	0.33333334	0.25	42
8	0.9230769	0.875	0.6	1.0	42
9	0.65000004	0.6875	0.6	0.5	42
10	0.575	0.64705884	0.4	0.4	135
11	0.35714287	0.5882353	0.0	0.0	135
12	0.52380955	0.64705884	0.2	0.33333334	135
13	0.3333333	0.5882353	0.0	0.0	135
14	0.5928571	0.64705884	0.6666667	0.2857143	135
15	0.6515152	0.64705884	0.5	0.6666667	135
16	0.58653843	0.7647059	0.5	0.25	135
17	0.56363636	0.625	0.4	0.4	135
18	1.0	1.0	1.0	1.0	135
19	0.65000004	0.6875	0.6	0.5	135
20	0.5833334	0.5294118	0.22222222	0.6666667	23
21	0.54285717	0.5882353	0.5	0.2857143	23
22	0.34615386	0.5294118	0.0	0.0	23
23	0.5480769	0.7058824	0.33333334	0.25	23
24	0.47115386	0.5882353	0.2	0.25	23
25	0.5757576	0.64705884	0.5	0.33333334	23
26	0.5595238	0.7058824	0.25	0.33333334	23
27	0.6090909	0.6875	0.5	0.4	23
28	0.51666665	0.5625	0.4	0.33333334	23
29	0.89285713	0.8125	0.4	1.0	23
30	0.7045454	0.7647059	0.75	0.5	7
31	0.39166668	0.47058824	0.16666667	0.2	7
32	0.71666664	0.88235295	0.5	0.5	7
33	0.5757576	0.64705884	0.5	0.33333334	7
34	0.47115386	0.5882353	0.2	0.25	7
35	0.25	0.4117647	0.0	0.0	7
36	0.69047624	0.7058824	0.33333334	0.6666667	7
37	0.6090909	0.6875	0.5	0.4	7
38	0.5181818	0.5625	0.33333334	0.4	7
39	0.56363636	0.625	0.4	0.4	7
40	0.8194445	0.8235294	0.85714287	0.75	49
41	0.45238093	0.5294118	0.14285715	0.33333334	49
42	0.5096154	0.64705884	0.25	0.25	49
43	0.5480769	0.7058824	0.33333334	0.25	49
44	0.7166667	0.7647059	0.6	0.6	49
45	0.5757576	0.64705884	0.5	0.33333334	49
46	0.45454544	0.5882353	0.0	0.0	49
47	0.42857143	0.75	0.0	0.0	49
48	0.6282052	0.8125	0.5	0.33333334	49
49	0.47435895	0.5625	0.16666667	0.33333334	49
50	0.55833334	0.7058824	0.5	0.2	1991
51	0.53571427	0.5294118	0.44444445	0.5714286	1991
52	0.7976191	0.88235295	0.6666667	0.6666667	1991
53	0.34615386	0.5294118	0.0	0.0	1991
54	0.5576923	0.5882353	0.2857143	0.5	1991
55	0.7976191	0.88235295	0.6666667	0.6666667	1991
56	0.44696972	0.5294118	0.25	0.16666667	1991
57	0.41666672	0.5	0.16666667	0.25	1991
58	0.4	0.75	0.0	0.0	1991
59	0.67460316	0.6875	0.6666667	0.5714286	1991
60	0.73571426	0.7647059	0.8	0.5714286	1970
61	0.47500002	0.5882353	0.25	0.2	1970
62	0.5096154	0.64705884	0.25	0.25	1970
63	0.65	0.5882353	0.4	0.8	1970
64	0.575	0.64705884	0.4	0.4	1970
65	0.673077	0.7647059	0.5	0.5	1970
66	0.53787875	0.64705884	0.5	0.16666667	1970
67	0.5897436	0.75	0.33333334	0.33333334	1970
68	0.7564103	0.8125	0.5	0.6666667	1970
69	0.53571427	0.5625	0.14285715	0.5	1970
70	0.92857146	0.88235295	0.6	1.0	30
71	0.59523815	0.7647059	0.33333334	0.33333334	30
72	0.44696972	0.5294118	0.25	0.16666667	30
73	0.69047624	0.7058824	0.33333334	0.6666667	30
74	0.6166667	0.7058824	0.5	0.4	30
75	0.7619048	0.8235294	0.5	0.6666667	30
76	0.0	0.5882353	0.0	0.0	30
77	0.5158731	0.5625	0.5	0.14285715	30
78	0.54761904	0.5625	0.5	0.42857143	30
79	0.78571427	0.8125	1.0	0.5714286	30
80	0.5096154	0.64705884	0.25	0.25	108
81	0.42857143	0.7058824	0.0	0.0	108
82	0.7583333	0.8235294	0.75	0.6	108
83	0.43333334	0.5294118	0.2	0.2	108
84	0.8846154	0.8235294	0.5714286	1.0	108
85	0.75	0.9411765	1.0	0.5	108
86	0.45833328	0.47058824	0.4	0.25	108
87	0.32051283	0.3125	0.1	0.33333334	108
88	0.42727274	0.4375	0.25	0.4	108
89	0.7545454	0.8125	0.75	0.6	108
90	0.5333333	0.5882353	0.33333334	0.4	5
91	0.48809525	0.5882353	0.16666667	0.33333334	5
92	0.59523815	0.7647059	0.33333334	0.33333334	5
93	0.85833335	0.88235295	0.8	0.8	5
94	0.6136364	0.64705884	0.5	0.5	5
95	0.35606056	0.4117647	0.16666667	0.16666667	5
96	0.7166667	0.7647059	0.6	0.6	5
97	0.5833333	0.625	0.33333334	0.5	5
98	0.5333333	0.625	0.5	0.16666667	5
99	0.36666667	0.6875	0.0	0.0	5
