	auc	binaryaccuracy	precision	recall	seed
0	0.36363637	0.47058824	0.0	0.0	42
1	0.5916667	0.5882353	0.375	0.6	42
2	0.32142857	0.5294118	0.0	0.0	42
3	0.5096154	0.64705884	0.25	0.25	42
4	0.375	0.5294118	0.0	0.0	42
5	0.45238093	0.5294118	0.14285715	0.33333334	42
6	0.7166667	0.7647059	0.6	0.6	42
7	0.5	0.625	0.25	0.25	42
8	0.7307692	0.5625	0.3	1.0	42
9	0.59999996	0.625	0.5	0.5	42
10	0.41666666	0.5882353	0.0	0.0	135
11	0.28571427	0.47058824	0.0	0.0	135
12	0.4166667	0.47058824	0.125	0.33333334	135
13	0.6166667	0.7058824	0.2	0.5	135
14	0.63571423	0.64705884	0.5714286	0.5714286	135
15	0.69696975	0.7058824	0.5714286	0.6666667	135
16	0.58653843	0.7647059	0.5	0.25	135
17	0.5272727	0.5	0.33333334	0.6	135
18	0.6282052	0.8125	0.5	0.33333334	135
19	0.78333336	0.8125	0.8	0.6666667	135
20	0.61904764	0.5882353	0.25	0.6666667	23
21	0.5642857	0.5882353	0.5	0.42857143	23
22	0.59615386	0.64705884	0.33333334	0.5	23
23	0.5096154	0.64705884	0.25	0.25	23
24	0.5096154	0.64705884	0.25	0.25	23
25	0.56060606	0.5294118	0.4	0.6666667	23
26	0.7976191	0.88235295	0.6666667	0.6666667	23
27	0.6090909	0.6875	0.5	0.4	23
28	0.4166667	0.4375	0.2857143	0.33333334	23
29	0.7142857	0.875	0.5	0.5	23
30	0.5757576	0.64705884	0.5	0.33333334	7
31	0.43333334	0.5294118	0.2	0.2	7
32	0.9666667	0.9411765	0.6666667	1.0	7
33	0.8333334	0.88235295	1.0	0.6666667	7
34	0.673077	0.7647059	0.5	0.5	7
35	0.45238093	0.5294118	0.14285715	0.33333334	7
36	0.69047624	0.7058824	0.33333334	0.6666667	7
37	0.41818184	0.5	0.2	0.2	7
38	0.5090909	0.625	0.33333334	0.2	7
39	0.70909095	0.75	0.6	0.6	7
40	0.5763889	0.5882353	0.6	0.375	49
41	0.69047624	0.7058824	0.33333334	0.6666667	49
42	0.5480769	0.7058824	0.33333334	0.25	49
43	0.5096154	0.64705884	0.25	0.25	49
44	0.3333333	0.47058824	0.0	0.0	49
45	0.6212121	0.7058824	0.6666667	0.33333334	49
46	0.45454544	0.5882353	0.0	0.0	49
47	0.53571427	0.5625	0.14285715	0.5	49
48	0.34615386	0.5625	0.0	0.0	49
49	0.71794873	0.75	0.4	0.6666667	49
50	0.675	0.7058824	0.5	0.6	1991
51	0.46428573	0.47058824	0.375	0.42857143	1991
52	0.7619048	0.8235294	0.5	0.6666667	1991
53	0.7115385	0.8235294	0.6666667	0.5	1991
54	0.6442308	0.5882353	0.33333334	0.75	1991
55	0.69047624	0.7058824	0.33333334	0.6666667	1991
56	0.53787875	0.64705884	0.5	0.16666667	1991
57	0.5416666	0.6875	0.33333334	0.25	1991
58	0.73333335	0.5	0.11111111	1.0	1991
59	0.4603175	0.5	0.33333334	0.14285715	1991
60	0.51428574	0.5294118	0.42857143	0.42857143	1970
61	0.45	0.47058824	0.25	0.4	1970
62	0.59615386	0.64705884	0.33333334	0.5	1970
63	0.575	0.64705884	0.4	0.4	1970
64	0.47500002	0.5882353	0.25	0.2	1970
65	0.5480769	0.7058824	0.33333334	0.25	1970
66	0.53787875	0.64705884	0.5	0.16666667	1970
67	0.34615386	0.5625	0.0	0.0	1970
68	0.71794873	0.75	0.4	0.6666667	1970
69	0.85714287	0.75	0.33333334	1.0	1970
70	0.89285713	0.8235294	0.5	1.0	30
71	0.82142854	0.7058824	0.375	1.0	30
72	0.4848485	0.5294118	0.33333334	0.33333334	30
73	0.5595238	0.7058824	0.25	0.33333334	30
74	0.7166667	0.7647059	0.6	0.6	30
75	0.78571427	0.64705884	0.33333334	1.0	30
76	0.0	0.5294118	0.0	0.0	30
77	0.47619045	0.5	0.4	0.2857143	30
78	0.6587302	0.6875	0.75	0.42857143	30
79	0.5873016	0.625	0.6666667	0.2857143	30
80	0.42307693	0.64705884	0.0	0.0	108
81	0.42857143	0.7058824	0.0	0.0	108
82	0.675	0.7058824	0.5	0.6	108
83	0.47500002	0.5882353	0.25	0.2	108
84	0.7596154	0.7647059	0.5	0.75	108
85	0.68333334	0.8235294	0.33333334	0.5	108
86	0.3958333	0.4117647	0.25	0.125	108
87	0.5512821	0.6875	0.25	0.33333334	108
88	0.42727274	0.4375	0.25	0.4	108
89	0.6181818	0.625	0.42857143	0.6	108
90	0.775	0.7647059	0.5714286	0.8	5
91	0.52380955	0.64705884	0.2	0.33333334	5
92	0.65476197	0.64705884	0.2857143	0.6666667	5
93	0.7166667	0.7647059	0.6	0.6	5
94	0.56060606	0.5294118	0.4	0.6666667	5
95	0.53030306	0.5882353	0.4	0.33333334	5
96	0.6583333	0.7647059	0.6666667	0.4	5
97	0.2916667	0.4375	0.0	0.0	5
98	0.6166667	0.6875	0.6666667	0.33333334	5
99	0.3333333	0.625	0.0	0.0	5
