	auc	binaryaccuracy	precision	recall	seed
0	0.43939394	0.47058824	0.2857143	0.33333334	42
1	0.6333333	0.64705884	0.42857143	0.6	42
2	0.35714287	0.5882353	0.0	0.0	42
3	0.5096154	0.64705884	0.25	0.25	42
4	0.43333334	0.5294118	0.2	0.2	42
5	0.89285713	0.8235294	0.5	1.0	42
6	0.8166666	0.8235294	0.6666667	0.8	42
7	0.5	0.625	0.25	0.25	42
8	0.51282054	0.625	0.2	0.33333334	42
9	0.59999996	0.625	0.5	0.5	42
10	0.575	0.64705884	0.4	0.4	135
11	0.52380955	0.64705884	0.2	0.33333334	135
12	0.75	0.5882353	0.3	1.0	135
13	0.55	0.5882353	0.14285715	0.5	135
14	0.5642857	0.5882353	0.5	0.42857143	135
15	0.52272725	0.5294118	0.375	0.5	135
16	0.5480769	0.7058824	0.33333334	0.25	135
17	0.5272727	0.5	0.33333334	0.6	135
18	1.0	1.0	1.0	1.0	135
19	0.75	0.8125	1.0	0.5	135
20	0.65476197	0.64705884	0.2857143	0.6666667	23
21	0.73571426	0.7647059	0.8	0.5714286	23
22	0.5096154	0.64705884	0.25	0.25	23
23	0.7115385	0.8235294	0.6666667	0.5	23
24	0.47115386	0.5882353	0.2	0.25	23
25	0.8257575	0.8235294	0.71428573	0.8333333	23
26	0.5595238	0.7058824	0.25	0.33333334	23
27	0.6090909	0.6875	0.5	0.4	23
28	0.6666666	0.625	0.5	0.8333333	23
29	0.64285713	0.75	0.25	0.5	23
30	0.52272725	0.5294118	0.375	0.5	7
31	0.41666666	0.5882353	0.0	0.0	7
32	0.68333334	0.8235294	0.33333334	0.5	7
33	0.7045454	0.7647059	0.75	0.5	7
34	0.5096154	0.64705884	0.25	0.25	7
35	0.48809525	0.5882353	0.16666667	0.33333334	7
36	0.92857146	0.88235295	0.6	1.0	7
37	0.42727274	0.4375	0.25	0.4	7
38	0.70909095	0.75	0.6	0.6	7
39	0.6636364	0.6875	0.5	0.6	7
40	0.5208333	0.5294118	0.5	0.375	49
41	0.69047624	0.7058824	0.33333334	0.6666667	49
42	0.5480769	0.7058824	0.33333334	0.25	49
43	0.42307693	0.64705884	0.0	0.0	49
44	0.675	0.7058824	0.5	0.6	49
45	0.8257575	0.8235294	0.71428573	0.8333333	49
46	0.4848485	0.5294118	0.33333334	0.33333334	49
47	0.5714286	0.625	0.16666667	0.5	49
48	0.51282054	0.625	0.2	0.33333334	49
49	0.7564103	0.8125	0.5	0.6666667	49
50	0.85833335	0.88235295	0.8	0.8	1991
51	0.63571423	0.64705884	0.5714286	0.5714286	1991
52	0.7619048	0.8235294	0.5	0.6666667	1991
53	0.6442308	0.5882353	0.33333334	0.75	1991
54	0.5673077	0.47058824	0.27272728	0.75	1991
55	0.59523815	0.7647059	0.33333334	0.33333334	1991
56	0.44696972	0.5294118	0.25	0.16666667	1991
57	0.5	0.625	0.25	0.25	1991
58	0.26666665	0.5	0.0	0.0	1991
59	0.47619045	0.5	0.4	0.2857143	1991
60	0.54285717	0.5882353	0.5	0.2857143	1970
61	0.45	0.47058824	0.25	0.4	1970
62	0.59615386	0.64705884	0.33333334	0.5	1970
63	0.8166666	0.8235294	0.6666667	0.8	1970
64	0.6333333	0.64705884	0.42857143	0.6	1970
65	0.58653843	0.7647059	0.5	0.25	1970
66	0.45454544	0.5882353	0.0	0.0	1970
67	0.34615386	0.5625	0.0	0.0	1970
68	0.71794873	0.75	0.4	0.6666667	1970
69	0.53571427	0.5625	0.14285715	0.5	1970
70	0.69047624	0.7058824	0.33333334	0.6666667	30
71	0.69047624	0.7058824	0.33333334	0.6666667	30
72	0.5757576	0.64705884	0.5	0.33333334	30
73	0.4642857	0.7647059	0.0	0.0	30
74	0.6333333	0.64705884	0.42857143	0.6	30
75	0.75	0.5882353	0.3	1.0	30
76	0.0	0.64705884	0.0	0.0	30
77	0.4603175	0.5	0.33333334	0.14285715	30
78	0.67460316	0.6875	0.6666667	0.5714286	30
79	0.3888889	0.4375	0.0	0.0	30
80	0.34615386	0.5294118	0.0	0.0	108
81	0.5595238	0.7058824	0.25	0.33333334	108
82	0.7166667	0.7647059	0.6	0.6	108
83	0.6166667	0.7058824	0.5	0.4	108
84	0.84615386	0.7647059	0.5	1.0	108
85	0.6166667	0.7058824	0.2	0.5	108
86	0.5138889	0.5294118	0.5	0.25	108
87	0.60256416	0.5625	0.25	0.6666667	108
88	0.38181818	0.375	0.22222222	0.4	108
89	0.70909095	0.75	0.6	0.6	108
90	0.6333333	0.64705884	0.42857143	0.6	5
91	0.65476197	0.64705884	0.2857143	0.6666667	5
92	0.4166667	0.47058824	0.125	0.33333334	5
93	0.575	0.64705884	0.4	0.4	5
94	0.5681818	0.5882353	0.42857143	0.5	5
95	0.44696972	0.5294118	0.25	0.16666667	5
96	0.6583333	0.7647059	0.6666667	0.4	5
97	0.45833328	0.5625	0.2	0.25	5
98	0.65000004	0.6875	0.6	0.5	5
99	0.8666667	0.75	0.2	1.0	5
