feature	auc	auc_difference
Amplitude_MHCI_affinity	0.5952381499999999	0.022186100000000097
Amplitude_MHCII_rank	0.6136364	0.003787850000000037
Best_rank_MHCI_score	0.6166666999999999	7.575500000001067e-4
Best_rank_MHCII_score	0.60714287	0.010281380000000007
DAI_MHCI_affinity	0.5096154	0.10780884999999996
Dissimilarity_MHCI	0.61742425	0
Generator_rate_MHCI	0.6181818	-7.575499999999957e-4
Generator_rate_MHCII	0.6181818	-7.575499999999957e-4
Hex_alignment_score_MHCI	0.5757576000000001	0.041666649999999916
Hex_alignment_score_MHCII	0.5583333399999999	0.05909091000000011
IEDB_Immunogenicity_MHCI	0.61742425	0
IEDB_Immunogenicity_MHCII	0.61742425	0
MixMHC2pred_best_rank	0.61904764	-0.0016233900000000023
MixMHCpred_best_rank	0.6166666999999999	7.575500000001067e-4
Neoag_immunogenicity	0.61428577	0.0031384800000000546
Pathogensimiliarity_MHCI_9mer	0.61742425	0
Pathogensimiliarity_MHCII	0.61742425	0
PHBR_I	0.6181818	-7.575499999999957e-4
PHBR_II	0.5952381499999999	0.022186100000000097
PRIME_best_rank	0.6136364	0.003787850000000037
Priority_score	0.61742425	0
Recognition_Potential_MHCI_9mer	0.6181818	-7.575499999999957e-4
rnaExpression	0.5865384299999999	0.030885820000000064
rnaVariantAlleleFrequency	0.61742425	0
Selfsimilarity_MHCI	0.61742425	0
Selfsimilarity_MHCII	0.61742425	0
Tcell_predictor_score	0.61742425	0
vaxrank_binding_score	0.6181818	-7.575499999999957e-4
vaxrank_total_score	0.6136364	0.003787850000000037
