	auc	binaryaccuracy	precision	recall	seed
0	0.4848485	0.5294118	0.33333334	0.33333334	42
1	0.6916667	0.64705884	0.44444445	0.8	42
2	0.32142857	0.5294118	0.0	0.0	42
3	0.63461536	0.7058824	0.4	0.5	42
4	0.43333334	0.5294118	0.2	0.2	42
5	0.7261905	0.7647059	0.4	0.6666667	42
6	0.6333333	0.64705884	0.42857143	0.6	42
7	0.5416666	0.6875	0.33333334	0.25	42
8	0.5641026	0.5	0.22222222	0.6666667	42
9	0.6166667	0.6875	0.6666667	0.33333334	42
10	0.41666666	0.5882353	0.0	0.0	135
11	0.32142857	0.5294118	0.0	0.0	135
12	0.5476191	0.47058824	0.2	0.6666667	135
13	0.36666667	0.64705884	0.0	0.0	135
14	0.61428577	0.64705884	0.6	0.42857143	135
15	0.65909094	0.7058824	0.6	0.5	135
16	0.58653843	0.7647059	0.5	0.25	135
17	0.42727274	0.4375	0.25	0.4	135
18	0.7948718	0.875	0.6666667	0.6666667	135
19	0.6999999	0.75	0.75	0.5	135
20	0.5833334	0.5294118	0.22222222	0.6666667	23
21	0.49285713	0.5294118	0.4	0.2857143	23
22	0.5096154	0.64705884	0.25	0.25	23
23	0.5096154	0.64705884	0.25	0.25	23
24	0.5480769	0.7058824	0.33333334	0.25	23
25	0.6136364	0.64705884	0.5	0.5	23
26	0.89285713	0.8235294	0.5	1.0	23
27	0.56363636	0.625	0.4	0.4	23
28	0.55	0.5625	0.42857143	0.5	23
29	0.6785714	0.8125	0.33333334	0.5	23
30	0.6136364	0.64705884	0.5	0.5	7
31	0.41666666	0.5882353	0.0	0.0	7
32	0.90000004	0.8235294	0.4	1.0	7
33	0.7045454	0.7647059	0.75	0.5	7
34	0.59615386	0.64705884	0.33333334	0.5	7
35	0.45238093	0.5294118	0.14285715	0.33333334	7
36	0.35714287	0.5882353	0.0	0.0	7
37	0.36363637	0.5	0.0	0.0	7
38	0.6090909	0.6875	0.5	0.4	7
39	0.71818185	0.6875	0.5	0.8	7
40	0.5208333	0.5294118	0.5	0.375	49
41	0.69047624	0.7058824	0.33333334	0.6666667	49
42	0.58653843	0.7647059	0.5	0.25	49
43	0.3846154	0.5882353	0.0	0.0	49
44	0.4916667	0.5294118	0.2857143	0.4	49
45	0.78787875	0.8235294	0.8	0.6666667	49
46	0.53787875	0.64705884	0.5	0.16666667	49
47	0.64285713	0.75	0.25	0.5	49
48	0.51282054	0.625	0.2	0.33333334	49
49	0.6794872	0.6875	0.33333334	0.6666667	49
50	0.55833334	0.7058824	0.5	0.2	1991
51	0.51428574	0.5294118	0.42857143	0.42857143	1991
52	0.7619048	0.8235294	0.5	0.6666667	1991
53	0.7596154	0.7647059	0.5	0.75	1991
54	0.48076922	0.47058824	0.22222222	0.5	1991
55	0.5595238	0.7058824	0.25	0.33333334	1991
56	0.44696972	0.5294118	0.25	0.16666667	1991
57	0.45833328	0.5625	0.2	0.25	1991
58	0.8	0.625	0.14285715	1.0	1991
59	0.54761904	0.5625	0.5	0.42857143	1991
60	0.4214286	0.47058824	0.25	0.14285715	1970
61	0.4916667	0.5294118	0.2857143	0.4	1970
62	0.5192308	0.5294118	0.25	0.5	1970
63	0.9166666	0.88235295	0.71428573	1.0	1970
64	0.4916667	0.5294118	0.2857143	0.4	1970
65	0.5480769	0.7058824	0.33333334	0.25	1970
66	0.49242425	0.5882353	0.33333334	0.16666667	1970
67	0.34615386	0.5625	0.0	0.0	1970
68	0.7948718	0.875	0.6666667	0.6666667	1970
69	0.64285713	0.75	0.25	0.5	1970
70	0.7619048	0.8235294	0.5	0.6666667	30
71	0.92857146	0.88235295	0.6	1.0	30
72	0.65909094	0.7058824	0.6	0.5	30
73	0.42857143	0.7058824	0.0	0.0	30
74	0.7583333	0.8235294	0.75	0.6	30
75	0.5476191	0.47058824	0.2	0.6666667	30
76	0.0	0.47058824	0.0	0.0	30
77	0.53174603	0.5625	0.5	0.2857143	30
78	0.5873016	0.625	0.6666667	0.2857143	30
79	0.5714286	0.625	1.0	0.14285715	30
80	0.3846154	0.5882353	0.0	0.0	108
81	0.59523815	0.7647059	0.33333334	0.33333334	108
82	0.7166667	0.7647059	0.6	0.6	108
83	0.6166667	0.7058824	0.5	0.4	108
84	0.7980769	0.8235294	0.6	0.75	108
85	0.65000004	0.7647059	0.25	0.5	108
86	0.5069444	0.5294118	0.5	0.125	108
87	0.3076923	0.5	0.0	0.0	108
88	0.57272726	0.5625	0.375	0.6	108
89	0.70909095	0.75	0.6	0.6	108
90	0.7333333	0.7058824	0.5	0.8	5
91	0.48809525	0.5882353	0.16666667	0.33333334	5
92	0.45238093	0.5294118	0.14285715	0.33333334	5
93	0.575	0.64705884	0.4	0.4	5
94	0.65909094	0.7058824	0.6	0.5	5
95	0.44696972	0.5294118	0.25	0.16666667	5
96	0.6583333	0.7647059	0.6666667	0.4	5
97	0.3333333	0.5	0.0	0.0	5
98	0.6666667	0.75	1.0	0.33333334	5
99	0.36666667	0.6875	0.0	0.0	5
