	auc	binaryaccuracy	precision	recall	seed
0	0.5	0.11111111	0.11111111	1.0	42
1	0.5	0.33333334	0.33333334	1.0	42
2	0.5	0.33333334	0.33333334	1.0	42
3	0.5	0.33333334	0.33333334	1.0	42
4	0.35	0.33333334	0.33333334	0.5	42
5	0.75	0.5555556	0.2	1.0	42
6	0.6333333	0.625	0.75	0.6	42
7	0.5	0.125	0.125	1.0	42
8	0.5	0.25	0.25	1.0	42
9	0.26666665	0.25	0.2	0.33333334	42
10	0.5833333	0.6666667	0.71428573	0.8333333	135
11	0.5	0.44444445	0.44444445	1.0	135
12	0.5	0.33333334	0.33333334	1.0	135
13	0.5	0.33333334	0.33333334	1.0	135
14	0.125	0.22222222	0.0	0.0	135
15	0.5	0.11111111	0.11111111	1.0	135
16	0.5	0.25	0.25	1.0	135
17	0.5	0.5	0.25	0.5	135
18	0.41666666	0.375	0.2	0.5	135
19	0.5	0.25	0.25	1.0	135
20	0.5	0.22222222	0.22222222	1.0	23
21	0.39285713	0.33333334	0.16666667	0.5	23
22	0.4166667	0.44444445	0.25	0.33333334	23
23	0.5	0.44444445	0.44444445	1.0	23
24	0.5	0.11111111	0.11111111	1.0	23
25	0.5	0.44444445	0.44444445	1.0	23
26	0.6333334	0.625	0.5	0.6666667	23
27	0.5	0.125	0.125	1.0	23
28	0.875	0.875	1.0	0.75	23
29	0.5	0.25	0.25	1.0	23
30	0.5	0.44444445	0.44444445	1.0	7
31	0.5	0.44444445	0.44444445	1.0	7
32	0.425	0.44444445	0.33333334	0.25	7
33	0.5	0.11111111	0.11111111	1.0	7
34	0.5	0.33333334	0.33333334	1.0	7
35	0.5	0.22222222	0.22222222	1.0	7
36	0.6333334	0.625	0.5	0.6666667	7
37	0.3333333	0.5	0.0	0.0	7
38	0.5	0.25	0.25	1.0	7
39	0.14285713	0.25	0.0	0.0	7
40	0.4166667	0.44444445	0.25	0.33333334	49
41	0.5	0.44444445	0.33333334	0.6666667	49
42	0.5	0.11111111	0.11111111	1.0	49
43	0.5	0.33333334	0.33333334	1.0	49
44	0.5833334	0.5555556	0.4	0.6666667	49
45	0.25	0.33333334	0.0	0.0	49
46	0.5	0.125	0.125	1.0	49
47	0.5	0.5	0.5	1.0	49
48	0.5	0.125	0.125	1.0	49
49	0.75	0.75	0.6666667	1.0	49
50	0.5	0.44444445	0.44444445	1.0	1991
51	0.5	0.22222222	0.22222222	1.0	1991
52	0.5	0.11111111	0.11111111	1.0	1991
53	0.4166667	0.33333334	0.2857143	0.6666667	1991
54	0.5	0.33333334	0.33333334	1.0	1991
55	0.5	0.22222222	0.22222222	1.0	1991
56	0.43333334	0.375	0.33333334	0.6666667	1991
57	0.5	0.5	0.25	0.5	1991
58	0.6333334	0.625	0.5	0.6666667	1991
59	0.73333335	0.75	0.6666667	0.6666667	1991
60	0.775	0.7777778	0.75	0.75	1970
61	0.5	0.33333334	0.33333334	1.0	1970
62	0.325	0.33333334	0.4	0.4	1970
63	0.5	0.11111111	0.11111111	1.0	1970
64	0.4166667	0.44444445	0.25	0.33333334	1970
65	0.5	0.11111111	0.11111111	1.0	1970
66	0.5	0.125	0.125	1.0	1970
67	0.25	0.125	0.14285715	0.5	1970
68	0.5	0.375	0.375	1.0	1970
69	0.6333334	0.625	0.5	0.6666667	1970
70	0.4	0.44444445	0.0	0.0	30
71	0.25	0.44444445	0.0	0.0	30
72	0.5	0.33333334	0.33333334	1.0	30
73	0.375	0.33333334	0.375	0.75	30
74	0.5	0.22222222	0.22222222	1.0	30
75	0.5	0.22222222	0.22222222	1.0	30
76	0.5	0.5	0.5	1.0	30
77	0.5	0.125	0.125	1.0	30
78	0.5	0.375	0.375	1.0	30
79	0.5	0.25	0.25	1.0	30
80	0.5	0.22222222	0.22222222	1.0	108
81	0.5	0.22222222	0.22222222	1.0	108
82	0.75	0.5555556	0.2	1.0	108
83	0.5	0.33333334	0.33333334	1.0	108
84	0.45	0.44444445	0.5	0.4	108
85	0.55	0.5555556	0.6	0.6	108
86	0.53333336	0.5	0.4	0.6666667	108
87	0.85714287	0.75	0.33333334	1.0	108
88	0.5833333	0.625	0.33333334	0.5	108
89	0.5	0.25	0.25	1.0	108
90	0.0625	0.11111111	0.0	0.0	5
91	0.55	0.5555556	0.5	0.5	5
92	0.5	0.11111111	0.11111111	1.0	5
93	0.225	0.22222222	0.2	0.25	5
94	0.475	0.44444445	0.42857143	0.75	5
95	0.5	0.44444445	0.44444445	1.0	5
96	0.5	0.125	0.125	1.0	5
97	0.5	0.25	0.25	1.0	5
98	0.5	0.5	0.25	0.5	5
99	0.5	0.375	0.375	1.0	5
