feature	auc	auc_difference
Amplitude_MHCI_affinity	0.6874999999999999	1.1102230246251565e-16
Amplitude_MHCII_rank	0.6874999999999999	1.1102230246251565e-16
Best_rank_MHCI_score	0.6874999999999999	1.1102230246251565e-16
Best_rank_MHCII_score	0.6874999999999999	1.1102230246251565e-16
DAI_MHCI_affinity	0.5	0.1875
Dissimilarity_MHCI	0.6874999999999999	1.1102230246251565e-16
Generator_rate_MHCI	0.6874999999999999	1.1102230246251565e-16
Generator_rate_MHCII	0.6874999999999999	1.1102230246251565e-16
Hex_alignment_score_MHCI	0.6874999999999999	1.1102230246251565e-16
Hex_alignment_score_MHCII	0.6874999999999999	1.1102230246251565e-16
IEDB_Immunogenicity_MHCI	0.6874999999999999	1.1102230246251565e-16
IEDB_Immunogenicity_MHCII	0.6874999999999999	1.1102230246251565e-16
MixMHC2pred_best_rank	0.6874999999999999	1.1102230246251565e-16
MixMHCpred_best_rank	0.6874999999999999	1.1102230246251565e-16
Neoag_immunogenicity	0.6874999999999999	1.1102230246251565e-16
Pathogensimiliarity_MHCI_9mer	0.6874999999999999	1.1102230246251565e-16
Pathogensimiliarity_MHCII	0.6874999999999999	1.1102230246251565e-16
PHBR_I	0.6874999999999999	1.1102230246251565e-16
PHBR_II	0.6874999999999999	1.1102230246251565e-16
PRIME_best_rank	0.6874999999999999	1.1102230246251565e-16
Priority_score	0.6874999999999999	1.1102230246251565e-16
Recognition_Potential_MHCI_9mer	0.6874999999999999	1.1102230246251565e-16
rnaExpression	0.6874999999999999	1.1102230246251565e-16
rnaVariantAlleleFrequency	0.6874999999999999	1.1102230246251565e-16
Selfsimilarity_MHCI	0.6874999999999999	1.1102230246251565e-16
Selfsimilarity_MHCII	0.6874999999999999	1.1102230246251565e-16
Tcell_predictor_score	0.6874999999999999	1.1102230246251565e-16
vaxrank_binding_score	0.6874999999999999	1.1102230246251565e-16
vaxrank_total_score	0.6874999999999999	1.1102230246251565e-16
