	auc	binaryaccuracy	precision	recall	seed
0	0.5595238	0.7058824	0.25	0.33333334	42
1	0.65	0.5882353	0.4	0.8	42
2	0.30833337	0.3529412	0.125	0.2	42
3	0.34615386	0.5294118	0.0	0.0	42
4	0.5480769	0.7058824	0.33333334	0.25	42
5	0.65000004	0.7647059	0.25	0.5	42
6	0.40833336	0.4117647	0.22222222	0.4	42
7	0.65909094	0.7058824	0.6	0.5	42
8	0.7211539	0.7058824	0.42857143	0.75	42
9	0.6666666	0.625	0.5	0.8333333	42
10	0.30833337	0.3529412	0.125	0.2	135
11	0.59615386	0.64705884	0.33333334	0.5	135
12	0.5833334	0.5294118	0.22222222	0.6666667	135
13	0.67857146	0.47058824	0.25	1.0	135
14	0.49285713	0.5294118	0.4	0.2857143	135
15	0.3076923	0.47058824	0.0	0.0	135
16	0.4848485	0.5294118	0.33333334	0.33333334	135
17	0.6057692	0.5294118	0.3	0.75	135
18	0.6826923	0.64705884	0.375	0.75	135
19	0.5833333	0.625	0.33333334	0.5	135
20	0.4	0.7058824	0.0	0.0	23
21	0.3	0.5294118	0.0	0.0	23
22	0.3939394	0.4117647	0.25	0.33333334	23
23	0.5681818	0.5882353	0.42857143	0.5	23
24	0.6333333	0.64705884	0.42857143	0.6	23
25	0.5096154	0.64705884	0.25	0.25	23
26	0.52272725	0.5294118	0.375	0.5	23
27	0.5833334	0.5294118	0.22222222	0.6666667	23
28	0.41666666	0.4117647	0.4	0.5	23
29	0.42857143	0.75	0.0	0.0	23
30	0.5833334	0.5294118	0.22222222	0.6666667	7
31	0.55	0.5882353	0.14285715	0.5	7
32	0.35606056	0.4117647	0.16666667	0.16666667	7
33	0.61428577	0.64705884	0.6	0.42857143	7
34	0.673077	0.7647059	0.5	0.5	7
35	0.4326923	0.5294118	0.16666667	0.25	7
36	0.43333334	0.5294118	0.2	0.2	7
37	0.5476191	0.47058824	0.2	0.6666667	7
38	0.63571423	0.64705884	0.5714286	0.5714286	7
39	0.6794872	0.6875	0.33333334	0.6666667	7
40	0.44696972	0.5294118	0.25	0.16666667	49
41	0.60714287	0.3529412	0.21428572	1.0	49
42	0.90625	0.8235294	0.25	1.0	49
43	0.55	0.5882353	0.14285715	0.5	49
44	0.47115386	0.5882353	0.2	0.25	49
45	0.43333334	0.5294118	0.2	0.2	49
46	0.4318182	0.4117647	0.5714286	0.36363637	49
47	0.5192308	0.5294118	0.25	0.5	49
48	0.5833333	0.64705884	0.16666667	0.5	49
49	0.51666665	0.5625	0.4	0.33333334	49
50	0.51428574	0.5294118	0.42857143	0.42857143	1991
51	0.6826923	0.64705884	0.375	0.75	1991
52	0.3	0.5294118	0.0	0.0	1991
53	0.82142854	0.7058824	0.375	1.0	1991
54	0.3	0.5294118	0.0	0.0	1991
55	0.52272725	0.5294118	0.375	0.5	1991
56	0.39285713	0.4117647	0.2857143	0.2857143	1991
57	0.675	0.7058824	0.5	0.6	1991
58	0.75	0.5294118	0.11111111	1.0	1991
59	0.6031746	0.625	0.6	0.42857143	1991
60	0.4848485	0.5294118	0.33333334	0.33333334	1970
61	0.55	0.5294118	0.33333334	0.6	1970
62	0.46428573	0.47058824	0.375	0.42857143	1970
63	0.875	0.7647059	0.2	1.0	1970
64	0.52380955	0.64705884	0.2	0.33333334	1970
65	0.41428572	0.4117647	0.33333334	0.42857143	1970
66	0.36363637	0.47058824	0.0	0.0	1970
67	0.675	0.7058824	0.5	0.6	1970
68	0.3125	0.5882353	0.0	0.0	1970
69	0.5641026	0.5	0.22222222	0.6666667	1970
70	0.59615386	0.64705884	0.33333334	0.5	30
71	0.775	0.7647059	0.5714286	0.8	30
72	0.5208333	0.5294118	0.5	0.375	30
73	0.61904764	0.5882353	0.25	0.6666667	30
74	0.39285713	0.64705884	0.0	0.0	30
75	0.19999999	0.3529412	0.0	0.0	30
76	0.5476191	0.47058824	0.2	0.6666667	30
77	0.26923078	0.4117647	0.0	0.0	30
78	0.6875	0.7058824	1.0	0.375	30
79	0.5416667	0.5625	0.2857143	0.5	30
80	0.4903846	0.3529412	0.23076923	0.75	108
81	0.5757576	0.64705884	0.5	0.33333334	108
82	0.39166668	0.47058824	0.16666667	0.2	108
83	0.53030306	0.5882353	0.4	0.33333334	108
84	0.7976191	0.88235295	0.6666667	0.6666667	108
85	0.6442308	0.5882353	0.33333334	0.75	108
86	0.5096154	0.64705884	0.25	0.25	108
87	0.44230765	0.4117647	0.2	0.5	108
88	0.63461536	0.7058824	0.4	0.5	108
89	0.375	0.4375	0.14285715	0.25	108
90	0.5333333	0.5882353	0.33333334	0.4	5
91	0.5833333	0.64705884	0.16666667	0.5	5
92	0.5	0.88235295	0.0	0.0	5
93	0.4772727	0.47058824	0.33333334	0.5	5
94	0.45	0.47058824	0.25	0.4	5
95	0.5192308	0.5294118	0.25	0.5	5
96	0.28571427	0.47058824	0.0	0.0	5
97	0.65476197	0.64705884	0.2857143	0.6666667	5
98	0.5642857	0.5882353	0.5	0.42857143	5
99	0.73015875	0.75	0.8	0.5714286	5
