	auc	binaryaccuracy	precision	recall	seed
0	0.18181819	0.30769232	0.0	0.0	42
1	0.6333334	0.61538464	0.33333334	0.6666667	42
2	0.6190476	0.61538464	0.6666667	0.5714286	42
3	0.51666665	0.61538464	0.25	0.33333334	42
4	0.5833333	0.61538464	0.4	0.5	42
5	0.48571426	0.5	0.4	0.4	42
6	0.28571427	0.33333334	0.0	0.0	42
7	0.54285717	0.5	0.6666667	0.2857143	42
8	0.4375	0.5	0.25	0.25	42
9	0.5625	0.5833333	0.4	0.5	42
10	0.5277778	0.53846157	0.33333334	0.5	135
11	0.45833328	0.53846157	0.25	0.25	135
12	0.53571427	0.53846157	0.5	0.5	135
13	0.5666667	0.6923077	0.33333334	0.33333334	135
14	0.7125	0.6923077	0.5714286	0.8	135
15	0.41666666	0.41666666	0.42857143	0.5	135
16	0.4375	0.5833333	0.0	0.0	135
17	0.6142857	0.5833333	0.5	0.8	135
18	0.3181818	0.5833333	0.0	0.0	135
19	0.25	0.25	0.2	0.16666667	135
20	0.52380955	0.53846157	0.5	0.33333334	23
21	0.325	0.30769232	0.25	0.4	23
22	0.3333333	0.46153846	0.0	0.0	23
23	0.4027778	0.46153846	0.2	0.25	23
24	0.9090909	0.84615386	0.5	1.0	23
25	0.375	0.33333334	0.25	0.5	23
26	0.3125	0.41666666	0.0	0.0	23
27	0.2777778	0.41666666	0.0	0.0	23
28	0.5	0.41666666	0.0	0.0	23
29	0.7	0.75	1.0	0.4	23
30	0.46428573	0.46153846	0.5	0.42857143	7
31	0.22222221	0.30769232	0.0	0.0	7
32	0.5625	0.46153846	1.0	0.125	7
33	0.4666667	0.53846157	0.2	0.33333334	7
34	0.35	0.53846157	0.0	0.0	7
35	0.6	0.6666667	1.0	0.2	7
36	0.5	0.41666666	0.25	0.6666667	7
37	0.27142859	0.25	0.25	0.14285715	7
38	0.65000004	0.75	0.33333334	0.5	7
39	0.5	0.5	0.16666667	0.5	7
40	0.5833333	0.61538464	0.4	0.5	49
41	0.25	0.30769232	0.0	0.0	49
42	0.4125	0.46153846	0.25	0.2	49
43	0.5833334	0.53846157	0.2857143	0.6666667	49
44	0.8636364	0.7692308	0.4	1.0	49
45	0.4375	0.5	0.25	0.25	49
46	0.75	0.75	0.6	0.75	49
47	0.49999997	0.5	0.5	0.33333334	49
48	0.38571426	0.41666666	0.25	0.2	49
49	0.25	0.25	0.2	0.16666667	49
50	0.575	0.61538464	0.5	0.4	1991
51	0.54761904	0.53846157	0.6	0.42857143	1991
52	0.5125	0.53846157	0.4	0.4	1991
53	0.4027778	0.46153846	0.2	0.25	1991
54	0.4666667	0.53846157	0.2	0.33333334	1991
55	0.5625	0.5833333	0.4	0.5	1991
56	0.3333333	0.33333334	0.0	0.0	1991
57	0.2777778	0.41666666	0.0	0.0	1991
58	0.25	0.41666666	0.0	0.0	1991
59	0.41428572	0.41666666	0.33333334	0.4	1991
60	0.7777778	0.6923077	0.5	1.0	1970
61	0.5833333	0.61538464	0.4	0.5	1970
62	0.28571427	0.30769232	0.0	0.0	1970
63	0.6375	0.6923077	0.6666667	0.4	1970
64	0.8181818	0.6923077	0.33333334	1.0	1970
65	0.54285717	0.5	0.44444445	0.8	1970
66	0.5833333	0.5833333	1.0	0.16666667	1970
67	0.44444448	0.5	0.2	0.33333334	1970
68	0.7777778	0.8333333	0.6666667	0.6666667	1970
69	0.25	0.25	0.0	0.0	1970
70	0.36363637	0.61538464	0.0	0.0	30
71	0.3690476	0.3846154	0.25	0.16666667	30
72	0.7638889	0.7692308	0.6	0.75	30
73	0.4027778	0.46153846	0.2	0.25	30
74	0.27272725	0.46153846	0.0	0.0	30
75	0.6666666	0.6666667	0.4	0.6666667	30
76	0.5625	0.5833333	0.4	0.5	30
77	0.5	0.5	0.33333334	0.5	30
78	0.5625	0.5	0.75	0.375	30
79	0.3142857	0.33333334	0.42857143	0.42857143	30
80	0.6136364	0.6923077	0.25	0.5	108
81	0.28750002	0.30769232	0.16666667	0.2	108
82	0.7125	0.6923077	0.5714286	0.8	108
83	0.4833333	0.3846154	0.75	0.3	108
84	0.4666667	0.53846157	0.2	0.33333334	108
85	0.62857145	0.6666667	0.6666667	0.4	108
86	0.9090909	0.8333333	0.33333334	1.0	108
87	0.16666669	0.16666667	0.16666667	0.16666667	108
88	0.49999997	0.5833333	0.25	0.33333334	108
89	0.4375	0.5	0.25	0.25	108
90	0.6125	0.61538464	0.5	0.6	5
91	0.52380955	0.53846157	0.5	0.33333334	5
92	0.375	0.46153846	0.0	0.0	5
93	0.45833328	0.53846157	0.25	0.25	5
94	0.5125	0.53846157	0.4	0.4	5
95	0.3333333	0.5	0.0	0.0	5
96	0.4375	0.5833333	0.0	0.0	5
97	0.49999997	0.5	0.5	0.33333334	5
98	0.5	0.5	0.16666667	0.5	5
99	0.5625	0.6666667	0.5	0.25	5
