feature	auc	auc_difference
Amplitude_MHCI_affinity	0.5833332999999998	0.06250000000000022
Amplitude_MHCII_rank	0.5833332999999998	0.06250000000000022
Best_rank_MHCI_score	0.625	0.020833300000000055
Best_rank_MHCII_score	0.6041667	0.04166660000000011
DAI_MHCI_affinity	0.4166666600000001	0.22916663999999998
Dissimilarity_MHCI	0.6458332999999999	1.1102230246251565e-16
Generator_rate_MHCI	0.625	0.020833300000000055
Generator_rate_MHCII	0.6666665999999999	-0.020833299999999833
Hex_alignment_score_MHCI	0.5833332999999998	0.06250000000000022
Hex_alignment_score_MHCII	0.5	0.14583330000000005
IEDB_Immunogenicity_MHCI	0.6458332999999999	1.1102230246251565e-16
IEDB_Immunogenicity_MHCII	0.6458332999999999	1.1102230246251565e-16
MixMHC2pred_best_rank	0.625	0.020833300000000055
MixMHCpred_best_rank	0.625	0.020833300000000055
Pathogensimiliarity_MHCI_9mer	0.6458332999999999	1.1102230246251565e-16
Pathogensimiliarity_MHCII	0.6458332999999999	1.1102230246251565e-16
PHBR_I	0.625	0.020833300000000055
PHBR_II	0.5833333999999999	0.062499900000000164
PRIME_best_rank	0.625	0.020833300000000055
Priority_score	0.6458332999999999	1.1102230246251565e-16
Recognition_Potential_MHCI_9mer	0.625	0.020833300000000055
rnaExpression	0.5833332999999998	0.06250000000000022
rnaVariantAlleleFrequency	0.6458332999999999	1.1102230246251565e-16
Selfsimilarity_MHCI	0.6458332999999999	1.1102230246251565e-16
Selfsimilarity_MHCII	0.6458332999999999	1.1102230246251565e-16
vaxrank_binding_score	0.625	0.020833300000000055
vaxrank_total_score	0.5833333999999999	0.062499900000000164
