	auc	binaryaccuracy	precision	recall	seed
0	0.3611111	0.3529412	0.36363637	0.5	42
1	0.3402778	0.3529412	0.2	0.125	42
2	0.48809525	0.5882353	0.16666667	0.33333334	42
3	0.78125	0.5882353	0.125	1.0	42
4	0.45833328	0.5625	0.2	0.25	42
5	0.42727274	0.4375	0.25	0.4	42
6	0.5363636	0.4375	0.33333334	0.8	42
7	0.4636364	0.5625	0.25	0.2	42
8	0.2142857	0.375	0.0	0.0	42
9	0.57272726	0.5625	0.375	0.6	42
10	0.5833333	0.64705884	0.16666667	0.5	135
11	0.4326923	0.5294118	0.16666667	0.25	135
12	0.5642857	0.5882353	0.5	0.42857143	135
13	0.55	0.5882353	0.14285715	0.5	135
14	0.8	0.625	0.14285715	1.0	135
15	0.4166667	0.4375	0.2857143	0.33333334	135
16	0.4090909	0.5625	0.0	0.0	135
17	0.43589747	0.5	0.14285715	0.33333334	135
18	0.36507934	0.375	0.2857143	0.2857143	135
19	0.36507934	0.375	0.44444445	0.44444445	135
20	0.4166667	0.47058824	0.125	0.33333334	23
21	0.6333333	0.64705884	0.42857143	0.6	23
22	0.45238093	0.5294118	0.14285715	0.33333334	23
23	0.23076922	0.3529412	0.0	0.0	23
24	0.53333336	0.5	0.4	0.6666667	23
25	0.53333336	0.5	0.4	0.6666667	23
26	0.5	0.5	0.5	0.25	23
27	0.57272726	0.5625	0.375	0.6	23
28	0.57272726	0.5625	0.375	0.6	23
29	0.76666665	0.5625	0.125	1.0	23
30	0.48809525	0.5882353	0.16666667	0.33333334	7
31	0.67857146	0.47058824	0.25	1.0	7
32	0.43333334	0.5294118	0.2	0.2	7
33	0.27380955	0.23529412	0.083333336	0.33333334	7
34	0.375	0.375	0.4	0.5	7
35	0.3076923	0.5	0.0	0.0	7
36	0.2818182	0.3125	0.125	0.2	7
37	0.53174603	0.5625	0.5	0.2857143	7
38	0.4636364	0.5625	0.25	0.2	7
39	0.4583333	0.4375	0.22222222	0.5	7
40	0.63461536	0.7058824	0.4	0.5	49
41	0.4097222	0.4117647	0.375	0.375	49
42	0.3409091	0.29411766	0.25	0.5	49
43	0.3942308	0.47058824	0.14285715	0.25	49
44	0.37179488	0.1875	0.14285715	0.6666667	49
45	0.43650794	0.4375	0.375	0.42857143	49
46	0.3333333	0.625	0.0	0.0	49
47	0.6666667	0.625	0.375	0.75	49
48	0.4583333	0.4375	0.22222222	0.5	49
49	0.36363637	0.5	0.0	0.0	49
50	0.23333332	0.4117647	0.0	0.0	1991
51	0.5681818	0.5882353	0.42857143	0.5	1991
52	0.48809525	0.5882353	0.16666667	0.33333334	1991
53	0.20833334	0.29411766	0.0	0.0	1991
54	0.4047619	0.4375	0.25	0.14285715	1991
55	0.47435895	0.5625	0.16666667	0.33333334	1991
56	0.5272727	0.5	0.33333334	0.6	1991
57	0.4333333	0.5	0.25	0.16666667	1991
58	0.5833333	0.625	0.33333334	0.5	1991
59	0.38181818	0.375	0.22222222	0.4	1991
60	0.3939394	0.4117647	0.25	0.33333334	1970
61	0.4326923	0.5294118	0.16666667	0.25	1970
62	0.46428573	0.47058824	0.375	0.42857143	1970
63	0.47500002	0.5882353	0.25	0.2	1970
64	0.3974359	0.4375	0.125	0.33333334	1970
65	0.26923078	0.4375	0.0	0.0	1970
66	0.5512821	0.6875	0.25	0.33333334	1970
67	0.33333334	0.375	0.125	0.25	1970
68	0.6875	0.6875	0.71428573	0.625	1970
69	0.43589747	0.5	0.14285715	0.33333334	1970
70	0.5576923	0.5882353	0.2857143	0.5	30
71	0.2142857	0.3529412	0.0	0.0	30
72	0.71875	0.47058824	0.1	1.0	30
73	0.34848487	0.3529412	0.22222222	0.33333334	30
74	0.47272724	0.5	0.2857143	0.4	30
75	0.6333334	0.625	0.5	0.6666667	30
76	0.3333333	0.375	0.16666667	0.16666667	30
77	0.5	0.5	0.25	0.5	30
78	0.5	0.5	0.5	0.25	30
79	0.7692308	0.625	0.33333334	1.0	30
80	0.17857143	0.29411766	0.0	0.0	108
81	0.5119048	0.4117647	0.18181819	0.6666667	108
82	0.47500002	0.5882353	0.25	0.2	108
83	0.26666668	0.29411766	0.11111111	0.2	108
84	0.39285713	0.6875	0.0	0.0	108
85	0.5333333	0.5	0.6666667	0.4	108
86	0.60256416	0.5625	0.25	0.6666667	108
87	0.1875	0.1875	0.22222222	0.25	108
88	0.7142857	0.875	0.5	0.5	108
89	0.5818182	0.5	0.36363637	0.8	108
90	0.2142857	0.3529412	0.0	0.0	5
91	0.46969697	0.4117647	0.33333334	0.6666667	5
92	0.43333334	0.5294118	0.2	0.2	5
93	0.2142857	0.3529412	0.0	0.0	5
94	0.48333335	0.4375	0.36363637	0.6666667	5
95	0.3076923	0.5	0.0	0.0	5
96	0.5666667	0.625	0.5	0.33333334	5
97	0.47272724	0.5	0.2857143	0.4	5
98	0.32727274	0.375	0.14285715	0.2	5
99	0.375	0.4375	0.14285715	0.25	5
