	auc	binaryaccuracy	precision	recall	seed
0	0.59523815	0.61538464	0.6666667	0.33333334	42
1	0.4125	0.46153846	0.25	0.2	42
2	0.3181818	0.5833333	0.0	0.0	42
3	0.3333333	0.33333334	0.14285715	0.33333334	42
4	0.5857143	0.5833333	0.5	0.6	42
5	0.2142857	0.25	0.0	0.0	42
6	0.3888889	0.41666666	0.16666667	0.33333334	42
7	0.5	0.5	0.5	0.6666667	42
8	0.5857143	0.5833333	0.5	0.6	42
9	0.5857143	0.5833333	0.6666667	0.5714286	42
10	0.51666665	0.61538464	0.25	0.33333334	135
11	0.6833334	0.6923077	0.4	0.6666667	135
12	0.41666666	0.41666666	0.0	0.0	135
13	0.3857143	0.41666666	0.5	0.5714286	135
14	0.55	0.5833333	0.2	0.5	135
15	0.4375	0.41666666	0.6	0.375	135
16	0.25	0.33333334	0.0	0.0	135
17	0.5	0.5	0.5	0.5	135
18	0.3142857	0.33333334	0.2	0.2	135
19	0.85	0.75	0.4	1.0	135
20	0.4125	0.46153846	0.25	0.2	23
21	0.52380955	0.53846157	0.5	0.33333334	23
22	0.5	0.41666666	0.25	0.6666667	23
23	0.5833334	0.5833333	0.5714286	0.6666667	23
24	0.49999997	0.5	0.5	0.33333334	23
25	0.3	0.5	0.0	0.0	23
26	0.75000006	0.75	0.8	0.6666667	23
27	0.4571429	0.5	0.33333334	0.2	23
28	0.8	0.6666667	0.33333334	1.0	23
29	0.6571429	0.6666667	0.6	0.6	23
30	0.6125	0.61538464	0.5	0.6	7
31	0.5138889	0.61538464	0.33333334	0.25	7
32	0.6875	0.6666667	0.5	0.75	7
33	0.5555556	0.6666667	0.33333334	0.33333334	7
34	0.5833333	0.5833333	0.6	0.5	7
35	0.22222221	0.33333334	0.0	0.0	7
36	0.17142858	0.16666667	0.2	0.14285715	7
37	0.5625	0.5833333	0.4	0.5	7
38	0.6571429	0.6666667	0.6	0.6	7
39	0.55714285	0.5833333	0.5	0.4	7
40	0.29761907	0.30769232	0.375	0.42857143	49
41	0.53571427	0.53846157	0.5	0.5	49
42	0.3888889	0.41666666	0.16666667	0.33333334	49
43	0.38571426	0.41666666	0.25	0.2	49
44	0.4375	0.5	0.25	0.25	49
45	0.3888889	0.41666666	0.16666667	0.33333334	49
46	0.5833333	0.5833333	0.6	0.5	49
47	0.5857143	0.5833333	0.5	0.6	49
48	0.625	0.6666667	0.5	0.5	49
49	0.3888889	0.41666666	0.16666667	0.33333334	49
50	0.30952382	0.30769232	0.2857143	0.33333334	1991
51	0.55	0.53846157	0.42857143	0.6	1991
52	0.625	0.6666667	0.5	0.5	1991
53	0.62857145	0.6666667	0.6666667	0.4	1991
54	0.59999996	0.6666667	0.25	0.5	1991
55	0.3142857	0.33333334	0.42857143	0.42857143	1991
56	0.45	0.41666666	0.14285715	0.5	1991
57	0.62857145	0.6666667	0.6666667	0.4	1991
58	0.4166667	0.41666666	0.4	0.33333334	1991
59	0.375	0.33333334	0.25	0.5	1991
60	0.77380955	0.7692308	0.8333333	0.71428573	1970
61	0.3875	0.3846154	0.2857143	0.4	1970
62	0.35714287	0.41666666	0.0	0.0	1970
63	0.375	0.33333334	0.25	0.5	1970
64	0.6571429	0.6666667	0.6	0.6	1970
65	0.75	0.6666667	0.5	1.0	1970
66	0.5	0.5	0.33333334	0.5	1970
67	0.5555556	0.6666667	0.33333334	0.33333334	1970
68	0.25	0.33333334	0.0	0.0	1970
69	0.5285715	0.5833333	0.5	0.2	1970
70	0.2916667	0.30769232	0.5	0.33333334	30
71	0.38095236	0.3846154	0.33333334	0.33333334	30
72	0.625	0.5	0.4	1.0	30
73	0.4166667	0.41666666	0.4	0.33333334	30
74	0.75	0.5833333	0.2857143	1.0	30
75	0.6666667	0.6666667	0.75	0.5	30
76	0.5857143	0.5833333	0.5	0.6	30
77	0.4	0.6666667	0.0	0.0	30
78	0.65000004	0.75	0.33333334	0.5	30
79	0.5	0.5	0.33333334	0.5	30
80	0.5277778	0.53846157	0.33333334	0.5	108
81	0.375	0.46153846	0.0	0.0	108
82	0.4375	0.41666666	0.2857143	0.5	108
83	0.4375	0.5	0.25	0.25	108
84	0.3125	0.33333334	0.16666667	0.25	108
85	0.49999997	0.5	0.5	0.33333334	108
86	0.61111116	0.5833333	0.33333334	0.6666667	108
87	0.44285715	0.41666666	0.5	0.2857143	108
88	0.7285715	0.75	0.75	0.6	108
89	0.5	0.5	0.33333334	0.5	108
90	0.6333334	0.61538464	0.33333334	0.6666667	5
91	0.19999999	0.30769232	0.0	0.0	5
92	0.41428572	0.41666666	0.5	0.42857143	5
93	0.55	0.5833333	0.2	0.5	5
94	0.5625	0.5	0.375	0.75	5
95	0.41666666	0.41666666	0.33333334	0.16666667	5
96	0.5142857	0.5	0.42857143	0.6	5
97	0.44285715	0.41666666	0.5	0.2857143	5
98	0.3125	0.41666666	0.0	0.0	5
99	0.48571426	0.5	0.4	0.4	5
