	auc	binaryaccuracy	precision	recall	seed
0	0.4	0.5	0.0	0.0	42
1	0.0	0.25	0.0	0.0	42
2	0.6666667	0.5	1.0	0.33333334	42
3	0.25	0.14285715	0.16666667	0.5	42
4	0.41666666	0.71428573	0.0	0.0	42
5	0.125	0.14285715	0.0	0.0	42
6	0.19999999	0.2857143	0.0	0.0	42
7	0.5416667	0.5714286	0.5	0.33333334	42
8	0.2916667	0.2857143	0.25	0.33333334	42
9	0.5416666	0.5714286	0.6	0.75	42
10	0.5	0.5	0.5	0.25	135
11	0.5	0.625	0.0	0.0	135
12	0.2	0.25	0.4	0.4	135
13	0.19999999	0.2857143	0.0	0.0	135
14	0.125	0.14285715	0.0	0.0	135
15	0.55	0.5714286	0.33333334	0.5	135
16	0.08333334	0.14285715	0.0	0.0	135
17	0.25	0.2857143	0.0	0.0	135
18	0.4166667	0.42857143	0.33333334	0.33333334	135
19	0.75	0.5714286	0.25	1.0	135
20	0.28571427	0.5	0.0	0.0	23
21	0.75	0.625	0.4	1.0	23
22	0.375	0.375	0.4	0.5	23
23	0.5833334	0.5714286	0.5	0.6666667	23
24	0.25	0.2857143	0.0	0.0	23
25	0.125	0.14285715	0.0	0.0	23
26	0.55	0.5714286	0.33333334	0.5	23
27	0.29166666	0.2857143	0.33333334	0.25	23
28	0.5833334	0.2857143	0.16666667	1.0	23
29	0.29166666	0.2857143	0.33333334	0.25	23
30	0.36666667	0.375	0.25	0.33333334	7
31	0.26666668	0.25	0.33333334	0.2	7
32	0.14285713	0.25	0.0	0.0	7
33	0.25	0.42857143	0.0	0.0	7
34	0.6666667	0.71428573	1.0	0.33333334	7
35	0.5833334	0.5714286	0.5	0.6666667	7
36	0.55	0.5714286	0.33333334	0.5	7
37	0.5416667	0.5714286	0.5	0.33333334	7
38	0.45833334	0.42857143	0.4	0.6666667	7
39	0.4166667	0.42857143	0.33333334	0.33333334	7
40	0.33333334	0.25	0.16666667	0.5	49
41	0.375	0.375	0.4	0.5	49
42	0.41666666	0.375	0.2	0.5	49
43	0.5833334	0.5714286	0.5	0.6666667	49
44	0.41666666	0.42857143	0.5	0.5	49
45	0.5416667	0.5714286	0.5	0.33333334	49
46	0.125	0.14285715	0.0	0.0	49
47	0.25	0.42857143	0.0	0.0	49
48	0.5	0.5714286	0.0	0.0	49
49	0.099999994	0.14285715	0.0	0.0	49
50	0.7	0.625	1.0	0.4	1991
51	0.0	0.375	0.0	0.0	1991
52	0.25	0.375	0.0	0.0	1991
53	0.5833334	0.5714286	0.5	0.6666667	1991
54	0.5	0.5714286	0.0	0.0	1991
55	0.2916667	0.2857143	0.25	0.33333334	1991
56	0.7083333	0.71428573	0.6666667	0.6666667	1991
57	0.35	0.2857143	0.2	0.5	1991
58	0.16666666	0.14285715	0.0	0.0	1991
59	0.35	0.2857143	0.2	0.5	1991
60	0.19999999	0.25	0.0	0.0	1970
61	0.16666666	0.25	0.0	0.0	1970
62	0.5	0.125	0.125	1.0	1970
63	0.55	0.5714286	0.33333334	0.5	1970
64	0.099999994	0.14285715	0.0	0.0	1970
65	0.4166667	0.42857143	0.33333334	0.33333334	1970
66	0.45833328	0.42857143	0.5	0.25	1970
67	0.45	0.42857143	0.25	0.5	1970
68	0.5416667	0.5714286	0.5	0.33333334	1970
69	0.45	0.42857143	0.6666667	0.4	1970
70	0.26666665	0.25	0.2	0.33333334	30
71	0.625	0.625	0.6666667	0.5	30
72	0.0	0.25	0.0	0.0	30
73	0.25	0.2857143	0.0	0.0	30
74	0.0	0.5714286	0.0	0.0	30
75	0.25	0.2857143	0.0	0.0	30
76	0.45	0.42857143	0.6666667	0.4	30
77	0.2916667	0.2857143	0.25	0.33333334	30
78	0.16666666	0.2857143	0.0	0.0	30
79	0.0	0.0	0.0	0.0	30
80	0.125	0.125	0.2	0.25	108
81	0.36666667	0.375	0.25	0.33333334	108
82	0.099999994	0.125	0.0	0.0	108
83	0.35000002	0.2857143	0.5	0.2	108
84	0.5833334	0.2857143	0.16666667	1.0	108
85	0.35	0.2857143	0.2	0.5	108
86	0.19999999	0.2857143	0.0	0.0	108
87	0.5833334	0.5714286	0.5	0.6666667	108
88	0.55	0.5714286	0.33333334	0.5	108
89	0.19999999	0.2857143	0.0	0.0	108
90	0.25	0.125	0.0	0.0	5
91	0.6333334	0.625	0.5	0.6666667	5
92	0.6666667	0.75	1.0	0.33333334	5
93	0.65000004	0.71428573	0.5	0.5	5
94	0.4166667	0.42857143	0.33333334	0.33333334	5
95	0.3	0.42857143	0.0	0.0	5
96	0.16666666	0.2857143	0.0	0.0	5
97	0.099999994	0.14285715	0.0	0.0	5
98	0.33333334	0.2857143	0.33333334	0.6666667	5
99	0.35	0.2857143	0.2	0.5	5
