entity	mutation_type	AUROC
MEL+RCC	SNV	0.825
MEL+RCC	Fusion gene	0.21250000000000002
MEL+RCC	INDEL	0.4107142857142857
MEL+RCC	combined	0.5555555555555556
MEL+RCC	SNV	0.9
MEL+RCC	Fusion gene	0.5
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.7999999999999999
MEL+RCC	SNV	0.40625
MEL+RCC	Fusion gene	0.4642857142857143
MEL+RCC	INDEL	0.3125
MEL+RCC	combined	0.71875
MEL+RCC	SNV	0.34375
MEL+RCC	Fusion gene	0.41250000000000003
MEL+RCC	INDEL	0.6785714285714286
MEL+RCC	combined	0.4
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.32499999999999996
MEL+RCC	INDEL	0.8428571428571429
MEL+RCC	combined	0.375
MEL+RCC	SNV	0.825
MEL+RCC	Fusion gene	0.7428571428571429
MEL+RCC	INDEL	0.5857142857142857
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.65625
MEL+RCC	Fusion gene	0.7321428571428571
MEL+RCC	INDEL	0.6071428571428572
MEL+RCC	combined	0.65
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.28750000000000003
MEL+RCC	INDEL	0.6964285714285714
MEL+RCC	combined	0.46875
MEL+RCC	SNV	0.84375
MEL+RCC	Fusion gene	0.8571428571428571
MEL+RCC	INDEL	0.4642857142857143
MEL+RCC	combined	0.775
MEL+RCC	SNV	0.53125
MEL+RCC	Fusion gene	0.21875
MEL+RCC	INDEL	0.7321428571428571
MEL+RCC	combined	0.475
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.234375
MEL+RCC	INDEL	0.23214285714285715
MEL+RCC	combined	0.640625
MEL+RCC	SNV	0.55
MEL+RCC	Fusion gene	0.4428571428571429
MEL+RCC	INDEL	0.5178571428571428
MEL+RCC	combined	0.30000000000000004
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.65625
MEL+RCC	INDEL	0.5535714285714286
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.5535714285714286
MEL+RCC	INDEL	0.75
MEL+RCC	combined	0.53125
MEL+RCC	SNV	0.84375
MEL+RCC	Fusion gene	0.25
MEL+RCC	INDEL	0.7321428571428571
MEL+RCC	combined	0.46875
MEL+RCC	SNV	0.45
MEL+RCC	Fusion gene	0.17142857142857146
MEL+RCC	INDEL	0.5178571428571428
MEL+RCC	combined	0.775
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.6428571428571428
MEL+RCC	INDEL	0.6785714285714286
MEL+RCC	combined	0.55
MEL+RCC	SNV	0.34375
MEL+RCC	Fusion gene	0.675
MEL+RCC	INDEL	0.5535714285714286
MEL+RCC	combined	0.47777777777777786
MEL+RCC	SNV	0.6
MEL+RCC	Fusion gene	0.47500000000000003
MEL+RCC	INDEL	0.5571428571428572
MEL+RCC	combined	0.725
MEL+RCC	SNV	0.78125
MEL+RCC	Fusion gene	0.3125
MEL+RCC	INDEL	0.6285714285714286
MEL+RCC	combined	0.65
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.43750000000000006
MEL+RCC	INDEL	0.4
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.55
MEL+RCC	Fusion gene	0.4
MEL+RCC	INDEL	0.34285714285714286
MEL+RCC	combined	0.6749999999999999
MEL+RCC	SNV	1
MEL+RCC	Fusion gene	0.17500000000000002
MEL+RCC	INDEL	0.625
MEL+RCC	combined	0.65
MEL+RCC	SNV	1
MEL+RCC	Fusion gene	0.4375
MEL+RCC	INDEL	0.5357142857142857
MEL+RCC	combined	0.75
MEL+RCC	SNV	0.375
MEL+RCC	Fusion gene	0.32142857142857145
MEL+RCC	INDEL	0.7857142857142857
MEL+RCC	combined	0.46875
MEL+RCC	SNV	0.2625
MEL+RCC	Fusion gene	0.5714285714285714
MEL+RCC	INDEL	0.8392857142857143
MEL+RCC	combined	0.55
MEL+RCC	SNV	0.53125
MEL+RCC	Fusion gene	0.65625
MEL+RCC	INDEL	0.48214285714285715
MEL+RCC	combined	0.53125
MEL+RCC	SNV	0.44999999999999996
MEL+RCC	Fusion gene	0.7
MEL+RCC	INDEL	0.26785714285714285
MEL+RCC	combined	0.5111111111111112
MEL+RCC	SNV	0.9375
MEL+RCC	Fusion gene	0.3571428571428572
MEL+RCC	INDEL	0.6875
MEL+RCC	combined	0.96875
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.44999999999999996
MEL+RCC	INDEL	0.9285714285714286
MEL+RCC	combined	0.15000000000000002
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.34285714285714286
MEL+RCC	INDEL	0.3333333333333333
MEL+RCC	combined	0.725
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.328125
MEL+RCC	INDEL	0.4642857142857143
MEL+RCC	combined	0.96875
MEL+RCC	SNV	0.59375
MEL+RCC	Fusion gene	0.48750000000000004
MEL+RCC	INDEL	0.5892857142857143
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.725
MEL+RCC	Fusion gene	0.6
MEL+RCC	INDEL	0.6428571428571428
MEL+RCC	combined	0.7999999999999999
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.5375
MEL+RCC	INDEL	0.3857142857142858
MEL+RCC	combined	0.3666666666666667
MEL+RCC	SNV	0.65625
MEL+RCC	Fusion gene	0.37142857142857144
MEL+RCC	INDEL	1
MEL+RCC	combined	0.325
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.46875
MEL+RCC	INDEL	0.6428571428571428
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.59375
MEL+RCC	Fusion gene	0.375
MEL+RCC	INDEL	0.4642857142857143
MEL+RCC	combined	0.3125
MEL+RCC	SNV	0.4375
MEL+RCC	Fusion gene	0.2678571428571429
MEL+RCC	INDEL	0.4285714285714286
MEL+RCC	combined	0.6875
MEL+RCC	SNV	0.32499999999999996
MEL+RCC	Fusion gene	0.7142857142857143
MEL+RCC	INDEL	0.6785714285714286
MEL+RCC	combined	0.375
MEL+RCC	SNV	0.4375
MEL+RCC	Fusion gene	0.375
MEL+RCC	INDEL	0.35714285714285715
MEL+RCC	combined	0.65625
MEL+RCC	SNV	0.8
MEL+RCC	Fusion gene	0.5625
MEL+RCC	INDEL	0.7714285714285715
MEL+RCC	combined	0.4222222222222223
MEL+RCC	SNV	0.21875
MEL+RCC	Fusion gene	0.515625
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.27142857142857146
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.425
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.30000000000000004
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.575
MEL+RCC	SNV	0.5625
MEL+RCC	Fusion gene	0.525
MEL+RCC	INDEL	0.6571428571428571
MEL+RCC	combined	0.6
MEL+RCC	SNV	0.6000000000000001
MEL+RCC	Fusion gene	0.3
MEL+RCC	INDEL	0.3928571428571429
MEL+RCC	combined	0.7
MEL+RCC	SNV	0.375
MEL+RCC	Fusion gene	0.4285714285714286
MEL+RCC	INDEL	0.8541666666666666
MEL+RCC	combined	0.421875
MEL+RCC	SNV	0.84375
MEL+RCC	Fusion gene	0.6875
MEL+RCC	INDEL	0.3392857142857143
MEL+RCC	combined	0.8125
MEL+RCC	SNV	0.7999999999999999
MEL+RCC	Fusion gene	0.6000000000000001
MEL+RCC	INDEL	0.8035714285714286
MEL+RCC	combined	0.575
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.2
MEL+RCC	INDEL	0.7142857142857143
MEL+RCC	combined	0.6222222222222222
MEL+RCC	SNV	0.45000000000000007
MEL+RCC	Fusion gene	0.609375
MEL+RCC	INDEL	0.7
MEL+RCC	combined	0.8125
MEL+RCC	SNV	0.4375
MEL+RCC	Fusion gene	0.59375
MEL+RCC	INDEL	0.3928571428571429
MEL+RCC	combined	0.59375
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.5428571428571429
MEL+RCC	INDEL	0.3571428571428572
MEL+RCC	combined	0.675
MEL+RCC	SNV	0.65625
MEL+RCC	Fusion gene	0.65625
MEL+RCC	INDEL	0.3392857142857143
MEL+RCC	combined	0.375
MEL+RCC	SNV	0.96875
MEL+RCC	Fusion gene	0.3142857142857143
MEL+RCC	INDEL	0.5892857142857143
MEL+RCC	combined	0.725
MEL+RCC	SNV	0.35000000000000003
MEL+RCC	Fusion gene	0.35714285714285715
MEL+RCC	INDEL	0.625
MEL+RCC	combined	0.22500000000000003
MEL+RCC	SNV	0.725
MEL+RCC	Fusion gene	0.5857142857142857
MEL+RCC	INDEL	0.6875
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.6000000000000001
MEL+RCC	Fusion gene	0.296875
MEL+RCC	INDEL	0.5535714285714286
MEL+RCC	combined	0.59375
MEL+RCC	SNV	0.875
MEL+RCC	Fusion gene	0.625
MEL+RCC	INDEL	0.5571428571428572
MEL+RCC	combined	0.475
MEL+RCC	SNV	0.475
MEL+RCC	Fusion gene	0.5428571428571428
MEL+RCC	INDEL	0.49999999999999994
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.37500000000000006
MEL+RCC	Fusion gene	0.3375
MEL+RCC	INDEL	0.5357142857142858
MEL+RCC	combined	0.7000000000000001
MEL+RCC	SNV	0.90625
MEL+RCC	Fusion gene	0.484375
MEL+RCC	INDEL	0.6785714285714286
MEL+RCC	combined	0.1875
MEL+RCC	SNV	0.96875
MEL+RCC	Fusion gene	0.40625
MEL+RCC	INDEL	0.75
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.5625
MEL+RCC	Fusion gene	0.32142857142857145
MEL+RCC	INDEL	0.5357142857142858
MEL+RCC	combined	0.8125
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.42500000000000004
MEL+RCC	INDEL	0.5892857142857143
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.4125
MEL+RCC	Fusion gene	0.125
MEL+RCC	INDEL	0.6714285714285715
MEL+RCC	combined	0.4375
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.75
MEL+RCC	INDEL	0.32142857142857145
MEL+RCC	combined	0.6499999999999999
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.5714285714285714
MEL+RCC	INDEL	0.7678571428571429
MEL+RCC	combined	0.2875
MEL+RCC	SNV	0.55
MEL+RCC	Fusion gene	0.6375000000000001
MEL+RCC	INDEL	0.3857142857142857
MEL+RCC	combined	0.6222222222222222
MEL+RCC	SNV	0.375
MEL+RCC	Fusion gene	0.5
MEL+RCC	INDEL	0.35416666666666663
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.3035714285714286
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.59375
MEL+RCC	SNV	0.725
MEL+RCC	Fusion gene	0.5875
MEL+RCC	INDEL	0.5142857142857143
MEL+RCC	combined	0.6625000000000001
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.525
MEL+RCC	INDEL	0.6785714285714286
MEL+RCC	combined	0.3555555555555556
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.3928571428571429
MEL+RCC	INDEL	0.7142857142857143
MEL+RCC	combined	0.28125
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.675
MEL+RCC	INDEL	0.6607142857142858
MEL+RCC	combined	0.675
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.36250000000000004
MEL+RCC	INDEL	0.7857142857142857
MEL+RCC	combined	0.6
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.4714285714285714
MEL+RCC	INDEL	0.5535714285714286
MEL+RCC	combined	0.925
MEL+RCC	SNV	0.32500000000000007
MEL+RCC	Fusion gene	0.5
MEL+RCC	INDEL	0.6000000000000001
MEL+RCC	combined	0.15625
MEL+RCC	SNV	0.35
MEL+RCC	Fusion gene	0.4125
MEL+RCC	INDEL	0.6964285714285714
MEL+RCC	combined	0.675
MEL+RCC	SNV	0.425
MEL+RCC	Fusion gene	0.359375
MEL+RCC	INDEL	0.4821428571428572
MEL+RCC	combined	0.8333333333333334
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.475
MEL+RCC	INDEL	0.6964285714285714
MEL+RCC	combined	0.6000000000000001
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.6375
MEL+RCC	INDEL	0.4642857142857143
MEL+RCC	combined	0.45000000000000007
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.4142857142857143
MEL+RCC	INDEL	0.5714285714285714
MEL+RCC	combined	0.75
