entity	mutation_type	AUROC
MEL+RCC	SNV	0.6461538461538462
MEL+RCC	Fusion gene	0.1769230769230769
MEL+RCC	INDEL	0.5384615384615384
MEL+RCC	combined	0.6000000000000001
MEL+RCC	SNV	0.6692307692307692
MEL+RCC	Fusion gene	0.5538461538461539
MEL+RCC	INDEL	0.4153846153846154
MEL+RCC	combined	0.6307692307692307
MEL+RCC	SNV	0.28125
MEL+RCC	Fusion gene	0.4166666666666667
MEL+RCC	INDEL	0.6458333333333333
MEL+RCC	combined	0.2604166666666667
MEL+RCC	SNV	0.8749999999999999
MEL+RCC	Fusion gene	0.4166666666666667
MEL+RCC	INDEL	0.90625
MEL+RCC	combined	0.8749999999999999
MEL+RCC	SNV	0.673076923076923
MEL+RCC	Fusion gene	0.3076923076923077
MEL+RCC	INDEL	0.2980769230769231
MEL+RCC	combined	0.5769230769230769
MEL+RCC	SNV	0.6041666666666666
MEL+RCC	Fusion gene	0.4270833333333333
MEL+RCC	INDEL	0.2708333333333333
MEL+RCC	combined	0.6458333333333334
MEL+RCC	SNV	0.7000000000000001
MEL+RCC	Fusion gene	0.6166666666666667
MEL+RCC	INDEL	0.7166666666666667
MEL+RCC	combined	0.7333333333333333
MEL+RCC	SNV	0.8846153846153846
MEL+RCC	Fusion gene	0.8076923076923076
MEL+RCC	INDEL	0.5961538461538461
MEL+RCC	combined	0.8461538461538463
MEL+RCC	SNV	0.55
MEL+RCC	Fusion gene	0.525
MEL+RCC	INDEL	0.7166666666666667
MEL+RCC	combined	0.5916666666666667
MEL+RCC	SNV	0.5961538461538461
MEL+RCC	Fusion gene	0.5538461538461539
MEL+RCC	INDEL	0.5288461538461539
MEL+RCC	combined	0.5961538461538461
MEL+RCC	SNV	0.7538461538461538
MEL+RCC	Fusion gene	0.3769230769230769
MEL+RCC	INDEL	0.5923076923076923
MEL+RCC	combined	0.6692307692307692
MEL+RCC	SNV	0.8333333333333333
MEL+RCC	Fusion gene	0.5
MEL+RCC	INDEL	0.575
MEL+RCC	combined	0.8166666666666667
MEL+RCC	SNV	0.5192307692307692
MEL+RCC	Fusion gene	0.6346153846153846
MEL+RCC	INDEL	0.4519230769230769
MEL+RCC	combined	0.5576923076923077
MEL+RCC	SNV	0.5833333333333333
MEL+RCC	Fusion gene	0.2
MEL+RCC	INDEL	0.33333333333333337
MEL+RCC	combined	0.5416666666666666
MEL+RCC	SNV	0.5625
MEL+RCC	Fusion gene	0.4583333333333333
MEL+RCC	INDEL	0.65625
MEL+RCC	combined	0.5520833333333333
MEL+RCC	SNV	0.9500000000000001
MEL+RCC	Fusion gene	0.5083333333333333
MEL+RCC	INDEL	0.475
MEL+RCC	combined	0.9500000000000001
MEL+RCC	SNV	0.6666666666666666
MEL+RCC	Fusion gene	0.7291666666666667
MEL+RCC	INDEL	0.8229166666666666
MEL+RCC	combined	0.6041666666666666
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.7884615384615384
MEL+RCC	INDEL	0.6538461538461539
MEL+RCC	combined	0.49999999999999994
MEL+RCC	SNV	0.6384615384615384
MEL+RCC	Fusion gene	0.4923076923076923
MEL+RCC	INDEL	0.5769230769230769
MEL+RCC	combined	0.6307692307692307
MEL+RCC	SNV	0.3076923076923077
MEL+RCC	Fusion gene	0.4230769230769231
MEL+RCC	INDEL	0.6153846153846154
MEL+RCC	combined	0.3846153846153846
MEL+RCC	SNV	0.6538461538461539
MEL+RCC	Fusion gene	0.2115384615384615
MEL+RCC	INDEL	0.548076923076923
MEL+RCC	combined	0.5961538461538461
MEL+RCC	SNV	0.8666666666666666
MEL+RCC	Fusion gene	0.3583333333333334
MEL+RCC	INDEL	0.35
MEL+RCC	combined	0.8166666666666667
MEL+RCC	SNV	0.3125
MEL+RCC	Fusion gene	0.48333333333333334
MEL+RCC	INDEL	0.7083333333333334
MEL+RCC	combined	0.3125
MEL+RCC	SNV	0.7538461538461538
MEL+RCC	Fusion gene	0.5384615384615385
MEL+RCC	INDEL	0.8307692307692307
MEL+RCC	combined	0.7461538461538462
MEL+RCC	SNV	0.5416666666666665
MEL+RCC	Fusion gene	0.65625
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.5416666666666665
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.4916666666666667
MEL+RCC	INDEL	0.6166666666666667
MEL+RCC	combined	0.6333333333333334
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.3365384615384615
MEL+RCC	INDEL	0.5096153846153846
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.7307692307692307
MEL+RCC	Fusion gene	0.6923076923076923
MEL+RCC	INDEL	0.6442307692307692
MEL+RCC	combined	0.75
MEL+RCC	SNV	0.8125
MEL+RCC	Fusion gene	0.625
MEL+RCC	INDEL	0.5416666666666666
MEL+RCC	combined	0.8125
MEL+RCC	SNV	0.5076923076923077
MEL+RCC	Fusion gene	0.6153846153846154
MEL+RCC	INDEL	0.4230769230769231
MEL+RCC	combined	0.49230769230769234
MEL+RCC	SNV	0.5416666666666666
MEL+RCC	Fusion gene	0.29166666666666663
MEL+RCC	INDEL	0.6666666666666666
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.6923076923076923
MEL+RCC	Fusion gene	0.2692307692307692
MEL+RCC	INDEL	0.6
MEL+RCC	combined	0.6769230769230768
MEL+RCC	SNV	0.6923076923076923
MEL+RCC	Fusion gene	0.7230769230769231
MEL+RCC	INDEL	0.43846153846153846
MEL+RCC	combined	0.7076923076923077
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.5230769230769231
MEL+RCC	INDEL	0.6538461538461539
MEL+RCC	combined	0.75
MEL+RCC	SNV	0.6
MEL+RCC	Fusion gene	0.4384615384615384
MEL+RCC	INDEL	0.5923076923076923
MEL+RCC	combined	0.4923076923076923
MEL+RCC	SNV	0.7833333333333333
MEL+RCC	Fusion gene	0.5416666666666666
MEL+RCC	INDEL	0.7416666666666666
