entity	mutation_type	AUROC
MEL+RCC	SNV	0.5833333333333333
MEL+RCC	Fusion gene	0.3888888888888889
MEL+RCC	INDEL	0.7361111111111112
MEL+RCC	combined	0.5833333333333333
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.5874999999999999
MEL+RCC	INDEL	0.5625
MEL+RCC	combined	0.71875
MEL+RCC	SNV	0.640625
MEL+RCC	Fusion gene	0.578125
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.640625
MEL+RCC	SNV	0.825
MEL+RCC	Fusion gene	0.5375000000000001
MEL+RCC	INDEL	0.5875
MEL+RCC	combined	0.775
MEL+RCC	SNV	0.15625
MEL+RCC	Fusion gene	0.46875
MEL+RCC	INDEL	0.234375
MEL+RCC	combined	0.15625
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.5625
MEL+RCC	INDEL	0.71875
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.6875
MEL+RCC	INDEL	0.6375000000000001
MEL+RCC	combined	0.6749999999999999
MEL+RCC	SNV	0.640625
MEL+RCC	Fusion gene	0.375
MEL+RCC	INDEL	0.671875
MEL+RCC	combined	0.65625
MEL+RCC	SNV	0.7999999999999999
MEL+RCC	Fusion gene	0.46249999999999997
MEL+RCC	INDEL	0.775
MEL+RCC	combined	0.7999999999999999
MEL+RCC	SNV	0.7
MEL+RCC	Fusion gene	0.35
MEL+RCC	INDEL	0.7125
MEL+RCC	combined	0.65
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.375
MEL+RCC	INDEL	0.578125
MEL+RCC	combined	0.65625
MEL+RCC	SNV	0.4
MEL+RCC	Fusion gene	0.275
MEL+RCC	INDEL	0.325
MEL+RCC	combined	0.375
MEL+RCC	SNV	0.46875
MEL+RCC	Fusion gene	0.578125
MEL+RCC	INDEL	0.640625
MEL+RCC	combined	0.46875
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.1875
MEL+RCC	INDEL	0.6875
MEL+RCC	combined	0.4375
MEL+RCC	SNV	0.4375
MEL+RCC	Fusion gene	0.609375
MEL+RCC	INDEL	0.546875
MEL+RCC	combined	0.484375
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.5625
MEL+RCC	INDEL	0.6125
MEL+RCC	combined	0.775
MEL+RCC	SNV	0.6499999999999999
MEL+RCC	Fusion gene	0.2875
MEL+RCC	INDEL	0.3875
MEL+RCC	combined	0.6249999999999999
MEL+RCC	SNV	0.9166666666666666
MEL+RCC	Fusion gene	0.5333333333333334
MEL+RCC	INDEL	0.5555555555555556
MEL+RCC	combined	0.9166666666666666
MEL+RCC	SNV	0.65
MEL+RCC	Fusion gene	0.55
MEL+RCC	INDEL	0.95
MEL+RCC	combined	0.65
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.7
MEL+RCC	INDEL	0.90625
MEL+RCC	combined	0.71875
MEL+RCC	SNV	0.2
MEL+RCC	Fusion gene	0.4625
MEL+RCC	INDEL	0.775
MEL+RCC	combined	0.225
MEL+RCC	SNV	0.6375
MEL+RCC	Fusion gene	0.4375
MEL+RCC	INDEL	0.6625
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.55
MEL+RCC	INDEL	0.34375
MEL+RCC	combined	0.78125
MEL+RCC	SNV	0.90625
MEL+RCC	Fusion gene	0.328125
MEL+RCC	INDEL	0.625
MEL+RCC	combined	0.9375
MEL+RCC	SNV	0.5625
MEL+RCC	Fusion gene	0.578125
MEL+RCC	INDEL	0.390625
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.675
MEL+RCC	Fusion gene	0.3625
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.55
MEL+RCC	SNV	0.65625
MEL+RCC	Fusion gene	0.59375
MEL+RCC	INDEL	0.765625
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.4777777777777778
MEL+RCC	Fusion gene	0.3777777777777778
MEL+RCC	INDEL	0.6666666666666666
MEL+RCC	combined	0.4555555555555556
MEL+RCC	SNV	0.75
MEL+RCC	Fusion gene	0.609375
MEL+RCC	INDEL	0.6875
MEL+RCC	combined	0.71875
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.4375
MEL+RCC	INDEL	0.546875
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.625
MEL+RCC	Fusion gene	0.7
MEL+RCC	INDEL	0.8125
MEL+RCC	combined	0.6
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.6875
MEL+RCC	INDEL	0.75
MEL+RCC	combined	0.4375
MEL+RCC	SNV	0.90625
MEL+RCC	Fusion gene	0.2
MEL+RCC	INDEL	0.578125
MEL+RCC	combined	0.84375
MEL+RCC	SNV	0.5750000000000001
MEL+RCC	Fusion gene	0.55
MEL+RCC	INDEL	0.7
MEL+RCC	combined	0.6000000000000001
MEL+RCC	SNV	0.5777777777777778
MEL+RCC	Fusion gene	0.35555555555555557
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.5333333333333333
MEL+RCC	SNV	0.875
MEL+RCC	Fusion gene	0.6000000000000001
MEL+RCC	INDEL	0.75
MEL+RCC	combined	0.84375
MEL+RCC	SNV	0.46875
MEL+RCC	Fusion gene	0.4375
MEL+RCC	INDEL	0.59375
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.53125
MEL+RCC	INDEL	0.46875
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.4375
MEL+RCC	Fusion gene	0.375
MEL+RCC	INDEL	0.609375
MEL+RCC	combined	0.4375
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.35
MEL+RCC	INDEL	0.55
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.40625
MEL+RCC	Fusion gene	0.640625
MEL+RCC	INDEL	0.515625
MEL+RCC	combined	0.34375
MEL+RCC	SNV	0.2666666666666667
MEL+RCC	Fusion gene	0.5333333333333334
MEL+RCC	INDEL	0.7
MEL+RCC	combined	0.2666666666666667
MEL+RCC	SNV	0.265625
MEL+RCC	Fusion gene	0.671875
MEL+RCC	INDEL	0.640625
MEL+RCC	combined	0.28125
MEL+RCC	SNV	0.9375
MEL+RCC	Fusion gene	0.36250000000000004
MEL+RCC	INDEL	0.703125
MEL+RCC	combined	0.96875
MEL+RCC	SNV	0.71875
MEL+RCC	Fusion gene	0.38749999999999996
MEL+RCC	INDEL	0.5
MEL+RCC	combined	0.71875
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.5875
MEL+RCC	INDEL	0.4375
MEL+RCC	combined	0.5
MEL+RCC	SNV	0.725
MEL+RCC	Fusion gene	0.5375
MEL+RCC	INDEL	0.65
MEL+RCC	combined	0.725
MEL+RCC	SNV	0.875
MEL+RCC	Fusion gene	0.5625
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.90625
MEL+RCC	SNV	0.46875
MEL+RCC	Fusion gene	0.40625
MEL+RCC	INDEL	0.765625
MEL+RCC	combined	0.46875
MEL+RCC	SNV	1
MEL+RCC	Fusion gene	0.525
MEL+RCC	INDEL	0.7
MEL+RCC	combined	1
MEL+RCC	SNV	0.6888888888888889
MEL+RCC	Fusion gene	0.5555555555555556
MEL+RCC	INDEL	0.4222222222222222
MEL+RCC	combined	0.6444444444444445
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.53125
MEL+RCC	INDEL	0.609375
MEL+RCC	combined	0.6875
MEL+RCC	SNV	0.65625
MEL+RCC	Fusion gene	0.5
MEL+RCC	INDEL	0.6875
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.59375
MEL+RCC	Fusion gene	0.35
MEL+RCC	INDEL	0.515625
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.5625
MEL+RCC	Fusion gene	0.34375
MEL+RCC	INDEL	0.515625
MEL+RCC	combined	0.5625
MEL+RCC	SNV	0.8
MEL+RCC	Fusion gene	0.35000000000000003
MEL+RCC	INDEL	0.7125000000000001
MEL+RCC	combined	0.8
MEL+RCC	SNV	0.6000000000000001
MEL+RCC	Fusion gene	0.4875
MEL+RCC	INDEL	0.7625000000000001
MEL+RCC	combined	0.625
MEL+RCC	SNV	0.425
MEL+RCC	Fusion gene	0.625
MEL+RCC	INDEL	0.375
MEL+RCC	combined	0.425
MEL+RCC	SNV	0.5
MEL+RCC	Fusion gene	0.453125
MEL+RCC	INDEL	0.859375
MEL+RCC	combined	0.515625
MEL+RCC	SNV	0.6875
MEL+RCC	Fusion gene	0.825
MEL+RCC	INDEL	0.734375
MEL+RCC	combined	0.703125
MEL+RCC	SNV	0.6
