Best_rank_MHCI_score,Best_rank_MHCII_score,rnaExpression,Pathogensimiliarity_MHCI_9mer,Pathogensimiliarity_MHCII,Selfsimilarity_MHCI,Selfsimilarity_MHCII,rnaVariantAlleleFrequency,Amplitude_MHCII_rank,Amplitude_MHCI_affinity,DAI_MHCI_affinity,Dissimilarity_MHCI,Generator_rate_MHCI,Generator_rate_MHCII,IEDB_Immunogenicity_MHCI,IEDB_Immunogenicity_MHCII,MixMHC2pred_best_rank,MixMHCpred_best_rank,PHBR_I,PHBR_II,vaxrank_binding_score,Hex_alignment_score_MHCI,Hex_alignment_score_MHCII,Priority_score,Recognition_Potential_MHCI_9mer,vaxrank_total_score,PRIME_best_rank,binary_response,id
99.892,95.36,0.0845338410771,0,6e-5,0.07893870351479915,0.19978351084601798,0,0.38578,9.1034,284.03,1,4,0,0.17664,0.42146,99.495,99.2,99.63916,100,4.047,188,240,0.04046,0,0,99.93,0,hugo_Pt1
99.91,90.98,0.048002976162,1,0.9925,0.09681701800942843,0.2949213850306909,0,6.1985,3.2749,136.5,1,1,0,-0.11261,-0.12435,99.203,99.8,99.53188,100,0.997,220,169,0.01992,3.2749,0,99.99,0,hugo_Pt1
91.447,12.590000000000003,0,0,0,0.14414642028848035,0.0038631988156427877,0,0,0.3652,-222.84,1,0,45,-0.19638,-1.1756,77.9,98,81.253,100,0.53109,253,112,0,0,0,99.5,0,hugo_Pt1
99.835,94.19,1.24549552977,0,0,0.06505699354912398,0.24408202216252262,0.25,3.5215,1.0034,250.57,1,1,0,0.01254,0.23168,97.89,99.8,99.25355,100,0.06822,186,337,0.32482,0,0.02124,99.96,0,hugo_Pt1
99.895,12.590000000000003,0.186606719293,0,0,0.01050103672171343,0.0038631988156427877,0,0,0.41529,-7.61,1,1,45,0.00116,-1.1756,86.4,99.6,99.47726,100,1.1761,188,112,0.04646,0,0,99.8,0,hugo_Pt1
98.899,84.2,0.0297871199851,6e-5,6e-5,0.11855577592384736,0.17990785647904894,0,3.8361,0.38135,28448,1,0,0,-0.01574,-0.29967,99.321,97,97.0194,100,0,290,241,0.00312,2e-5,0,99,0,hugo_Pt1
98.863,12.590000000000003,0.05490081879359999,0,0,0.05417112114755718,0.0038631988156427877,0,0,0.33799,-1446,1,0,45,-0.50845,-1.1756,87.9,96,97.1232,100,0,150,112,0.02786,0,0,80,0,hugo_Pt1
99.981,77.02,4.09082562964,0,0,0.11718908479142753,0.17639583731526176,0.181,0.04003,3.2082,530.96,1,0,0,-0.15259,-0.45434,84.5,99.4,99.90176,100,0.86708,199,215,0.4927,0,0.64202,99.8,0,hugo_Pt1
99.649,62.78,0.525272115726,0,0,0.015221546455130408,0.19092213618353193,0,0.99516,0.75841,-23.36,1,0,0,-0.23663,0.02154,99.13,98,98.3191,100,0.01741,158,228,0.1108,0,0,99.8,0,hugo_Pt1
99.532,99.58,257.940590092,1,1,0.030847387048390407,0.2528495662466266,0.366,97.762,0.76947,-13.78,1,0,5,0.02202,0.03386,99.668,98,98.969,100,0.01979,81,204,0.17044,0.40682,1.868,99.8,0,hugo_Pt1
99.97,98.8,0,0,0,0.13879903035203478,0.19096755729806825,0,15.283,23.096,18549,1,0,1,0.07946,-0.20344,99.868,99.3,99.85691,100,2.4137,194,274,0,0,0,99.5,0,hugo_Pt1
99.368,97.21,0.366854195409,0,0,0.10075403943060635,0.2676464666667977,0,19.283,3.3677,34618,1,0,0,0.33745000000000003,0.08035,99.595,97,99.00342,100,0.04409,115,175,0.05676,0,0,99.6,0,hugo_Pt1
95.262,55.04,0.0387247295613,0.00761,0.00767,0.08304561034126301,0.1767886650304814,0,0.0585,0.16622,-5173.4,1,0,0,-0.0992,-0.15004,83.7,89,90.9397,100,0,237,238,0,0.00127,0,70,0,hugo_Pt1
99.841,99.27,6.32788675164,0,0,0.09439614186636758,0.18278509466831494,0.503,130.14,159.75,4210.4,0.99999,10,4,0.19538,0.16996,99.856,99.7,99.6878,100,20.716,204,254,0.56947,0,65.938,99.95,0,hugo_Pt1
99.832,99.76,14.1943516668,0,0,0.07898176744829821,0.18278509466831494,0.503,115.29,159.75,4210.4,0.99999,7,6,0.19538,0.16996,99.856,99.1,99.61975,100,12.935,204,254,0.59668,0,92.355,99.9,0,hugo_Pt1
99.832,99.27,59.865072252,0,0,0.07898176744829821,0.18278509466831494,0.503,130.14,159.75,4210.4,0.99999,7,3,0.19538,0.16996,99.856,99.1,99.4683,100,12.005,204,254,0.59668,0,361.5,99.9,0,hugo_Pt1
99.088,12.590000000000003,0,6e-5,0,0.0893711359189504,0.0038631988156427877,0,0,0.2617,30080,0.99747,0,45,-0.08124,-1.1756,62.7,95,98.0582,100,0,169,112,0,1e-5,0,98,0,hugo_Pt1
99.444,95.26,0.017332450265,0,6e-5,0.034707394592733753,0.05981035208810204,0,2.8481,1.9468,188.99,1,0,0,0.22308,0.36816,97.7,97,98.2024,100,0.91962,173,302,0.00105,0,0,99.4,0,hugo_Pt1
99.489,98.24,13.1090423542,0.01511,0.99994,0.1510829671766385,0.2117358637651574,0,19.312,12.05,7511,1,0,0,-0.27604,-0.35988,99.827,99.1,98.1744,100,1.4746,94,232,0.44205,0.12661,0,99.2,0,hugo_Pt1
97.566,87.09,10.085803088,0,1,0.043749627922786805,0.1584086439427188,0.256,4.0403,1.2521,191.77,1.2000000000000899e-4,1,0,0.43866,0.30002,97.38,97,96.1426,100,0.4527,216,227,0.04153,0,1.1689,99.3,0,hugo_Pt1
96.938,92.62,0.43507755441000007,0.99994,0.99239,0.06293561367014922,0.21246410692499984,0,0.68293,0.3964,-754.92,1,0,0,0.14841,0.11963,96.71,93,93.2547,100,0,249,251,0.00102,0.11084,0,99.8,0,hugo_Pt1
99.381,12.590000000000003,0,0,0,0.20079909649604344,0.0038631988156427877,0,0,1.0248,2.76,0.02295999999999998,0,45,-0.06065,-1.1756,4.5,96,97.6143,100,0.96428,165,112,0,0,0,99.1,0,hugo_Pt1
99.576,94.95,3.48433294477,0.99994,0,0.10388804246363359,0.16698767186302965,0.101,14.394,1.726,8.49,1,2,0,-0.02363,-0.31755,99.667,99.5,98.548,100,5.4598,302,265,0.19256,1.7259,1.9214,99.97,0,hugo_Pt1
98.337,99.65,0.195855437165,0,0,0.057673451268859255,0.05893113555246998,0.43799999999999994,0.6,2.1177,4498.1,0.9981,0,2,-0.61797,-0.12813,99.9114,98,96.1052,100,0.01637,194,217,0.01259,0,0.0014,97,0,hugo_Pt1
99.989,94.92,6.23056188749,0,0.5,0.08996912875371543,0.2352206248850105,0.345,9.1142,0.77927,-2.05,0.99891,3,0,-0.14177,-0.07912,99.137,99.91,99.94235,100,6.0715,184,396,0.59343,0,13.051,99.98,0,hugo_Pt1
99.956,95.06,5.96577428759,0,0,0.11060495170677964,0.19112446107793069,0.005,8.8927,1.8749,25.73,1,1,0,0.01968,0.13366,98.05,99.8,99.78302,100,1.6552,157,182,0.12362,0,0.04937,99.99,0,hugo_Pt1
99.966,97.89,0.111130830216,0.66753,0.99994,0.1280902292481476,0.26859677759030165,0,2.6303,14.788,459.3,1,1,0,0.18162,0.04467,99.555,99.7,99.83216,100,3.8436,183,376,0.09294,5.0947,0,99.94,0,hugo_Pt1
