Best_rank_MHCI_score,Best_rank_MHCII_score,rnaExpression,Pathogensimiliarity_MHCI_9mer,Pathogensimiliarity_MHCII,Selfsimilarity_MHCI,Selfsimilarity_MHCII,rnaVariantAlleleFrequency,Amplitude_MHCII_rank,Amplitude_MHCI_affinity,DAI_MHCI_affinity,Dissimilarity_MHCI,Generator_rate_MHCI,Generator_rate_MHCII,IEDB_Immunogenicity_MHCI,IEDB_Immunogenicity_MHCII,MixMHC2pred_best_rank,MixMHCpred_best_rank,PHBR_I,PHBR_II,vaxrank_binding_score,Hex_alignment_score_MHCI,Hex_alignment_score_MHCII,Priority_score,Recognition_Potential_MHCI_9mer,vaxrank_total_score,PRIME_best_rank,binary_response,id
98.061,96.72,0,0,0,0.10955864372307877,0.28172054999666474,0,14.091,2.1887,10009,1,1,0,-0.01968,0.39388,96.03,95,96.2582,99.9654,0.00489,214,274,0,0,0,99.4,0,miao_PtRCC_102
99.38,91.69,4,2.4e-4,0.00767,0.15356806278369406,0.21760380113265754,1,5.0349,1.0215,2.18,1,0,0,-0.18751,-0.29387,91.78999999999999,98,98.8571,99.9654,2.9052,205,181,0.87396,8.8e-4,11.621,99.7,0,miao_PtRCC_102
99.827,92.11,2,0,0,0.09251716190008197,0.21271774363902185,0.08,2.9708,11.839,795.14,0.99873,1,0,-0.07114,-0.07312,95.55,99.2,99.50297,99.9654,1.7793,229,235,0.0723,0,0.28469,99.7,0,miao_PtRCC_102
99.919,96.21,2,0,0,0.12195006022440269,0.17020302408840338,0.0625,3.3298,0.27172,-30.04,0.99873,5,0,0.34637,0.55046,99.611,99.2,99.75131,99.9654,13.316,235,324,0.06025,0,1.6645,99.97,0,miao_PtRCC_102
99.919,96.21,2,0,0,0.12195006022440269,0.17020302408840338,0.0165289256198347,3.3298,0.27172,-30.04,0.99873,6,0,0.34637,0.55046,99.611,99.5,99.75131,99.9654,16.238,235,324,0.01593,0,0.5368,99.97,0,miao_PtRCC_102
99.919,96.21,2,0,0,0.12195006022440269,0.17020302408840338,0.0134228187919463,3.3298,1.5835,6.12,1,8,0,0.32534,0.55046,99.611,99.5,99.75131,99.9654,22.006,212,324,0.01294,0,0.59076,99.96,0,miao_PtRCC_102
99.903,96.46,2,1,0.99994,0.11811127190601434,0.2928672913994893,0.00909090909090909,23.78,0.39527,-100.28,1,0,0,0.15938,0.0679,84.7,99.95,99.50508,99.9654,3.1032,222,346,0.00822,3.1008,0.05642,99.97,0,miao_PtRCC_102
90.734,84.93,0,0,0,0.03888502792653303,0.04033337274426119,0,0.64499,0.30684,-469.09,1,0,0,-0.07066,0.13015,92.53,94,68.369,99.9654,0.09818,194,229,0,0,0,96,0,miao_PtRCC_102
49.667,16.17,0,1,0,0.04905444017633098,0.0050234583349979545,0,0,0.10568,-12375,1,0,29,-0.01711,-1.3188,26.799999999999997,5,29.705,99.9654,0,108,119,0,88.137,0,0,0,miao_PtRCC_102
99.538,94.63,6,0.00761,0.00761,0.08733409937357661,0.19643727935590694,0.02870813397129187,3.4618,2.7024,231.47,1,0,0,0.1764,0.34752,90.43,99,99.23942,99.9654,1.1753,205,267,0.02511,0.00115,0.20245,99.5,0,miao_PtRCC_102
99.653,16.17,3,0,0,0.009069166565136455,0.0050234583349979545,0.3,0,1.4165,323.86,1,0,29,0.22036,-1.3188,72.6,96,98.3795,99.9654,0.39278,181,119,0.14925,0,0.3535,94,0,miao_PtRCC_102
99.611,94.7,2,0,1,0.15998622452332334,0.20270809207018603,0.02,0.85094,0.15117,-237.66,1,1,0,0.08916,-0.18397,95.16,97,98.9897,99.9654,1.3298,169,238,0.01897,0,0.05319,99.6,0,miao_PtRCC_102
99.992,96.17,0,0,1,0.10597289511311647,0.21105964455012327,0,23.057,14.642,47.28,0.99999,8,0,0.06774,0.02654,98.43,99.8,99.95659,99.9654,21.066,208,189,0,0,0,99.97,0,miao_PtRCC_102
99.992,96.17,0,0,1,0.10597289511311647,0.21105964455012327,0,23.057,14.642,47.28,0.99999,4,0,0.06774,0.02654,98.43,99.2,99.95453,99.9654,5.7766,208,189,0,0,0,99.3,0,miao_PtRCC_102
