Best_rank_MHCI_score,Best_rank_MHCII_score,rnaExpression,Pathogensimiliarity_MHCI_9mer,Pathogensimiliarity_MHCII,Selfsimilarity_MHCI,Selfsimilarity_MHCII,rnaVariantAlleleFrequency,Amplitude_MHCII_rank,Amplitude_MHCI_affinity,DAI_MHCI_affinity,Dissimilarity_MHCI,Generator_rate_MHCI,Generator_rate_MHCII,IEDB_Immunogenicity_MHCI,IEDB_Immunogenicity_MHCII,MixMHC2pred_best_rank,MixMHCpred_best_rank,PHBR_I,PHBR_II,vaxrank_binding_score,Hex_alignment_score_MHCI,Hex_alignment_score_MHCII,Priority_score,Recognition_Potential_MHCI_9mer,vaxrank_total_score,PRIME_best_rank,binary_response,id
98.282,99.87,23,0,0.5,0.06403858714787636,0.2719646283586341,0.06725146198830409,342.69,2.2057,205.72,4.1000000000002146e-4,0,3,-0.14682,-0.21579,99.99458,96,96.5888,99.9654,0.87626,197,340,0.05405,0,1.3554,95,0,hugo_Pt1
99.755,99.92,132,0,1,0.0890789930677034,0.1209495304886049,0.48,2.875,1.6533,20.27,1,5,5,0.01296,-0.13489,99.989,99.6,99.29476,99.9654,4.7875,171,259,0.42262,0,303.33,99.98,0,hugo_Pt1
99.936,97.29,3,0,0,0.06254770255499875,0.18537894463017945,0.00251677852348993,0.41328,13.691,1757.8,1,1,1,-0.18096,-0.1938,98.79,99.95,99.72879,99.9654,1.4941,212,280,0.00188,0,0.01128,99.99,0,hugo_Pt1
99.857,95.68,31,0.5,0.99994,0.11583293489076474,0.1691635295750682,0.06391752577319587,1.2893,255.57,4857.5,1,1,0,0.23956,0.25546,98.69,99.8,99.25904,99.9654,2.6417,211,282,0.06391,127.78,5.2344,99.97,0,hugo_Pt1
99.045,98.02,2,0,0.5,0.09531870757949823,0.17913914634019734,0.0020964360587002,1.8586,5.749,5560.2,1,0,0,-0.14532,-0.07563,99.9032,93,97.6875,99.9654,0.702,188,221,0.00201,0,0.00294,97,0,hugo_Pt1
99.952,88.6,2,0,0,0.06510121234699562,0.13622759778435067,0.02857142857142856,2.1123,75.999,23903,1,1,0,-0.32636,-0.2541,97.23,99.7,99.77556,99.9654,1.9002,152,187,0.02754,0,0.10859,99.97,0,hugo_Pt1
99.092,99.94,10,0.5,1,0.10725624860944816,0.186483753005107,0.1388888888888889,204.33,1.3767,3951,1,0,5,0.21724,0.14898,99.9809,98,98.237,99.9654,8.1e-4,187,330,0.1227,0.68834,0.00113,99.8,0,hugo_Pt1
99.643,99.7,1,0,0,0.04384700113888318,0.17680303188056534,0.0050251256281407,57.633,0.91174,-6.4,1,0,3,-0.06393,-0.31384,99.9025,99,98.2595,99.9654,1.6912,144,183,0.00287,0,0.0085,99.8,0,hugo_Pt1
99.603,98.76,36,0,0,0.07759614196268239,0.1890011667740591,0.16822429906542055,12.105,3.9486,2761.3,0.99809,0,0,-0.01607,-0.11358,99.785,98,98.7189,99.9654,0.86442,169,182,0.15767,0,5.235,99.8,0,hugo_Pt1
99.863,92.62,2,0,2.9e-4,0.09738877728923478,0.19265659195858698,0.015625,7.5217,1.4369,0.85,0.85714,10,0,0.10468,-0.46674,99.9776,98,99.64862,99.9654,20.534,242,254,0.01318,0,0.64168,99.93,0,hugo_Pt1
