Best_rank_MHCI_score,Best_rank_MHCII_score,rnaExpression,Pathogensimiliarity_MHCI_9mer,Pathogensimiliarity_MHCII,Selfsimilarity_MHCI,Selfsimilarity_MHCII,rnaVariantAlleleFrequency,Amplitude_MHCII_rank,Amplitude_MHCI_affinity,DAI_MHCI_affinity,Dissimilarity_MHCI,Generator_rate_MHCI,Generator_rate_MHCII,IEDB_Immunogenicity_MHCI,IEDB_Immunogenicity_MHCII,MixMHC2pred_best_rank,MixMHCpred_best_rank,PHBR_I,PHBR_II,vaxrank_binding_score,Hex_alignment_score_MHCI,Hex_alignment_score_MHCII,Priority_score,Recognition_Potential_MHCI_9mer,vaxrank_total_score,PRIME_best_rank,binary_response,id
99.446,99.27,5.77145097652,0,0,0.06017671709069916,0.03216071580077062,0.28571428571400004,0.30137,1.9048,267.89,1,0,2,-0.20881,-0.09874,99.895,99.2,98.2039,96.81,1.8656,189,226,0.11391,0,3.0763,99.6,0,miao_PtRCC_105
98.608,99.6,4.51310491797,0,0,0.022464066050770448,0.05106418791007883,0.625,0.825,0.83497,101.17,1,0,5,-0.30415,-0.22553,99.764,95,96.8651,98.8377,0.02024,153,294,0.15142,0,0.0571,98,0,miao_PtRCC_105
97.667,57.96,0.7776268278630001,0,0,0.03167662839833263,0.06723757479566683,0,0.31089,0.62952,4009.8,1,0,0,-0.23593,-0.43393,97.83,95,94.0766,35.446,0,184,300,0.01439,0,0,96,0,miao_PtRCC_105
99.044,99.84,1.9802351883,0,0.99994,0.07991021443335955,0.024590094079269598,0.8125,1.1875,0.59281,74.52,1,0,4,0.11554,0.33636,97.61,97,97.3621,99.07819,0,111,319,0.33302,0,0,99.2,0,miao_PtRCC_105
99.997,98.66,14.6474040449,0.00767,0,0.024389559931974558,0.011456761693065198,0.449438202247,1.2537,1.1968,1.18,1,5,0,-0.0495,-0.39962,99.9067,99.9,99.98268,96.5224,10.649,177,238,0.1092,0.00918,70.107,99.99,0,miao_PtRCC_105
98.535,98,1.52291246148,6e-5,0.5,0.03996733599495805,0.05917267492317657,0.5,0.88,1.5729,263.34,1,0,0,-0.01663,0.27452,99.601,98,97.5957,93.8686,1.1624,180,279,0.0723,9e-5,0.88511,98,0,miao_PtRCC_105
97.076,90.86,0,0,0,0.030534972701894758,0.04602149663413957,0,1.3665,1.152,49.63,1,0,0,-0.00524,-0.03237,96.41,95,94.0095,79.97800000000001,0.79263,236,290,0,0,0,98,0,miao_PtRCC_105
99.125,98.83,2.5955667476700004,0,0,0.015435368192791232,0.034540497745251586,0.380952380952,1.1026,1.7862,27405,1,1,0,0.07988,-0.22626,99.336,93,98.2991,95.1819,1.6e-4,145,189,0.23219,0,1.6e-4,98,0,miao_PtRCC_105
99.315,85.72,4.84099972881,0,0,0.07281046913477618,0.08151803193184237,0.261904761905,0.85504,0.65594,-181.07,1,1,0,0.02447,0.2935,97.94,99,98.1687,75.199,0.03509,265,288,0.10431,0,0.04448,99.8,0,miao_PtRCC_105
99.513,99.54,0.0258364750927,0.99239,0,0.06606165787544938,0.015328539152366205,0,0.97826,0.79181,265.73,1,0,2,-0.03863,-0.50399,99.9522,98,98.4982,97.5871,0.001,190,183,0.00274,0.78578,0,99.93,0,miao_PtRCC_105
