Best_rank_MHCI_score,Best_rank_MHCII_score,rnaExpression,Pathogensimiliarity_MHCI_9mer,Pathogensimiliarity_MHCII,Selfsimilarity_MHCI,Selfsimilarity_MHCII,rnaVariantAlleleFrequency,Amplitude_MHCII_rank,Amplitude_MHCI_affinity,DAI_MHCI_affinity,Dissimilarity_MHCI,Generator_rate_MHCI,Generator_rate_MHCII,IEDB_Immunogenicity_MHCI,IEDB_Immunogenicity_MHCII,MixMHC2pred_best_rank,MixMHCpred_best_rank,PHBR_I,PHBR_II,vaxrank_binding_score,Hex_alignment_score_MHCI,Hex_alignment_score_MHCII,Priority_score,Recognition_Potential_MHCI_9mer,vaxrank_total_score,PRIME_best_rank,binary_response,id
99.347,96.09,0.453994708492,0,0,0.043596889055690036,0.1698787864522886,0.620689655172,3.8312,1.2786,145.21,0.85839,0,0,-0.35952,-0.06466,97.44,98,97.589,100,0.60638,120,262,0.04912,0,0.17087,96,0,miao_PtRCC_102
96.80799999999999,87.78,1.10353851108,1,1,0.08663861377231619,0.18971164372412785,0.409,0.0491,0.50004,9236.5,1,0,0,-0.04037,-0.15605,94.85,96,96.0773,100,0,179,263,3.3e-4,0.3705,0,97,0,miao_PtRCC_102
99.54,80.01,1.36616807211,0,1,0.07815285196172439,0.21960998163157597,0.01,4.5738,1.277,935.01,1,0,0,-0.13111,-0.04675,83.1,99,97.9857,100,0.02113,274,428,0.09988,0,2.9e-4,99.1,0,miao_PtRCC_102
99.856,96.2,3.19332192472,0,0,0.056174280897526185,0.16980407062644332,0.75,16.066,3.2645,242.74,1,1,0,-0.24514,-0.78142,98.08,99.3,99.66587,100,1.3419,166,218,0.17978,0,3.2139,98,0,miao_PtRCC_102
96.742,94.64,4.65332343816,0,0.5,0.09156233721779683,0.1800584548243801,0.063,7.8601,0.72938,24887,1,0,0,0.17203,-0.11666,96.19,97,95.7514,100,0,94,290,4.4e-4,0,0,97,0,miao_PtRCC_102
99.94,96.58,0,6e-5,6e-5,0.10058369166377801,0.19919440344572636,0,18.634,1.1121,15.39,1,2,0,-0.02587,0.31152,98.56,99.8,99.73238,100,2.2139,221,264,0,7e-5,0,99.8,0,miao_PtRCC_102
99.859,87.77,1.24596904549,0,0,0.0391910066161828,0.15859117247365684,0,6.5119,0.14192,-103.13,1,0,0,-0.32315,-0.732,94.17,99.8,99.73756,100,1.5717,164,316,0.08699,0,0,99.7,0,miao_PtRCC_102
99.993,95.75,1.5547456082100002,0,0,0.06536106341595538,0.1330790465309235,0,15.332,0.78112,-0.89,0.99874,9,0,-0.1191,0.27048,99.703,99.93,99.96486,100,14.817,185,260,0.12114,0,0,99.97,0,miao_PtRCC_102
99.993,98.15,47.0954544695,0.50006,0,0.09593995946446576,0.18802904339186377,0.232,36.611,5.5427,7960.8,1,1,0,0.0274,0.16033,99.127,99.6,99.97945,100,0.91261,184,380,0.04475,2.7717,9.9713,99.8,0,miao_PtRCC_102
99.365,70.57,0,0,0.5,0.04278171602820524,0.00956571334141143,0,0.97112,0.38851,9888,0.99915,0,0,0.26871,-0.5058,74.6,99.3,98.3946,100,0,124,266,0,0,0,94,0,miao_PtRCC_102
99.294,94.89,0.0189995553592,0,1,0.056176901448172556,0.012876378204164762,0,0.818,0.6626,24307,1,0,0,0.16276,0.12231,97.47,99.7,98.3233,100,0,168,338,0.00487,0,0,98,0,miao_PtRCC_102
99.809,95.39,2.3933634698299997,0,6e-5,0.08059979312592103,0.22419210714509852,1,3.9089,39.285,10480,1,1,0,-0.02286,-0.15446,96.71,99.6,99.66986,100,7.8816,143,271,0.16482,0,18.863,99.8,0,miao_PtRCC_102
99.996,96.43,0,0,0.5,0.04741374878546556,0.2137685762812498,0,24.521,1.5172,1.73,1,4,0,0.19892,-0.22932,99.738,99.94,99.97961,91.1622,17.048,258,196,0,0,0,99.99,0,miao_PtRCC_105
